Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total
 Associate Scrutiny Card (blue),131,104,235
 Naturalised Scrutiny Card (green),133,153,286
 National Registration Card (3-fold),119,579,698
 Religious card,97,353,450
 Temporary Registration Card (white),157,253,410
 Foreign Registration Card (FRC),17,13,30
 Foreign Passport,6,15,21
 None,4402,22473,26875
 Child under 10 years,4508,23085,27593
 Total,25012,107596,132608
AREA # 010203,Phakant,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),44357,169466,213823
 Associate Scrutiny Card (blue),44,210,254
 Naturalised Scrutiny Card (green),173,852,1025
 National Registration Card (3-fold),710,2199,2909
 Religious card,155,470,625
 Temporary Registration Card (white),349,4078,4427
 Foreign Registration Card (FRC),5,16,21
 Foreign Passport,7,37,44
 None,7157,38676,45833
 Child under 10 years,7166,36151,43317
 Total,60123,252155,312278
AREA # 010251,Hopin(ST),*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),15261,16275,31536
 Associate Scrutiny Card (blue),62,4,66
 Naturalised Scrutiny Card (green),122,11,133
 National Registration Card (3-fold),106,91,197
 Religious card,133,156,289
 Temporary Registration Card (white),137,72,209
 Foreign Registration Card (FRC),13,-,13
 Foreign Passport,-,1,1
 None,3230,3833,7063
 Child under 10 years,4288,4899,9187
 Total,23352,25342,48694
AREA # 010252,Kamine(ST),*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),3309,7175,10484
 Associate Scrutiny Card (blue),3,4,7
 Naturalised Scrutiny Card (green),18,12,30
 National Registration Card (3-fold),36,92,128
 Religious card,26,28,54
 Temporary Registration Card (white),81,86,167
 Foreign Passport,-,1,1
 None,887,2939,3826
 Child under 10 years,1374,3359,4733
 Total,5734,13696,19430
AREA # 010301,Bhamo,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),37458,44197,81655
 Associate Scrutiny Card (blue),84,32,116
 Naturalised Scrutiny Card (green),167,125,292
 National Registration Card (3-fold),203,549,752
 Religious card,429,324,753
 Temporary Registration Card (white),316,826,1142
 Foreign Registration Card (FRC),21,8,29
 Foreign Passport,18,24,42
 None,9785,14806,24591
 Child under 10 years,10215,16290,26505
 Total,58696,77181,135877
AREA # 010302,Shwegu,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),11506,37749,49255
 Associate Scrutiny Card (blue),26,27,53
 Naturalised Scrutiny Card (green),53,74,127
 National Registration Card (3-fold),23,240,263
 Religious card,132,208,340
 Temporary Registration Card (white),32,482,514
 Foreign Registration Card (FRC),10,-,10
 Foreign Passport,10,7,17
 None,3657,17579,21236
 Child under 10 years,3445,15431,18876
 Total,18894,71797,90691
AREA # 010303,Momauk,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),6353,18059,24412
 Associate Scrutiny Card (blue),20,47,67
 Naturalised Scrutiny Card (green),31,51,82
 National Registration Card (3-fold),38,469,507
 Religious card,47,108,155
 Temporary Registration Card (white),31,157,188
 Foreign Registration Card (FRC),-,1,1
 Foreign Passport,2,51,53
 None,1660,5800,7460
 Child under 10 years,2559,6078,8637
 Total,10741,30821,41562
AREA # 010304,Mansi,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),5653,23768,29421
 Associate Scrutiny Card (blue),2,25,27
 Naturalised Scrutiny Card (green),5,36,41
 National Registration Card (3-fold),22,550,572
 Religious card,15,97,112
 Temporary Registration Card (white),38,246,284
 Foreign Passport,1,5,6
 None,678,10727,11405
 Child under 10 years,1732,9345,11077
 Total,8146,44799,52945
AREA # 010351,Myohla(ST),*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),1225,1432,2657
 Naturalised Scrutiny Card (green),2,4,6
 National Registration Card (3-fold),7,3,10
 Religious card,3,10,13
 Temporary Registration Card (white),1,3,4
 None,138,304,442
 Child under 10 years,452,509,961
 Total,1828,2265,4093
AREA # 010352,Lwe`ge`(ST),*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),5230,1069,6299
 Associate Scrutiny Card (blue),6,18,24
 Naturalised Scrutiny Card (green),116,20,136
 National Registration Card (3-fold),31,1,32
 Religious card,9,1,10
 Temporary Registration Card (white),26,-,26
 Foreign Registration Card (FRC),1,45,46
 Foreign Passport,15,-,15
 None,1283,241,1524
 Child under 10 years,1658,269,1927
 Total,8375,1664,10039
AREA # 010353,Dotphoneyan(ST),*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),1285,6036,7321
 Naturalised Scrutiny Card (green),1,8,9
 National Registration Card (3-fold),10,58,68
 Religious card,2,34,36
 Temporary Registration Card (white),6,32,38
 None,239,1274,1513
 Child under 10 years,338,1990,2328
 Total,1881,9432,11313
AREA # 010401,Putao,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),10436,23969,34405
 Associate Scrutiny Card (blue),22,17,39
 Naturalised Scrutiny Card (green),14,18,32
 National Registration Card (3-fold),12,156,168
 Religious card,16,20,36
 Temporary Registration Card (white),6,272,278
 Foreign Registration Card (FRC),1,-,1
 Foreign Passport,9,13,22
 None,2027,8170,10197
 Child under 10 years,3435,12462,15897
 Total,15978,45097,61075
AREA # 010402,Sumprabum,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),735,708,1443
 Naturalised Scrutiny Card (green),-,3,3
 National Registration Card (3-fold),2,5,7
 Religious card,1,1,2
 Temporary Registration Card (white),2,29,31
 None,155,261,416
 Child under 10 years,242,402,644
 Total,1137,1409,2546
AREA # 010403,Machanbaw,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),1669,3922,5591
 Associate Scrutiny Card (blue),1,1,2
 Naturalised Scrutiny Card (green),-,5,5
 National Registration Card (3-fold),2,5,7
 Religious card,1,8,9
 Temporary Registration Card (white),3,4,7
 Foreign Registration Card (FRC),1,-,1
 Foreign Passport,-,3,3
 None,132,674,806
 Child under 10 years,506,1921,2427
 Total,2315,6543,8858
AREA # 010404,Khaunglanphoo,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),307,7559,7866
 Associate Scrutiny Card (blue),-,4,4
 Naturalised Scrutiny Card (green),-,9,9
 National Registration Card (3-fold),-,9,9
 Foreign Registration Card (FRC),-,1,1
 Foreign Passport,-,5,5
 None,22,1578,1600
 Child under 10 years,121,2040,2161
 Total,450,11205,11655
AREA # 010405,Naungmoon,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),1473,2177,3650
 National Registration Card (3-fold),-,6,6
 None,120,146,266
 Child under 10 years,518,925,1443
 Total,2111,3254,5365
AREA # 010451,Pannandin(ST),*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),84,867,951
 National Registration Card (3-fold),2,122,124
 None,-,148,148
 Child under 10 years,39,496,535
 Total,125,1633,1758
AREA # 020101,Loikaw,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),38543,53794,92337
 Associate Scrutiny Card (blue),107,62,169
 Naturalised Scrutiny Card (green),176,183,359
 National Registration Card (3-fold),419,352,771
 Religious card,256,209,465
 Temporary Registration Card (white),26,38,64
 Foreign Registration Card (FRC),9,5,14
 Foreign Passport,12,34,46
 None,3173,4464,7637
 Child under 10 years,8628,17911,26539
 Total,51349,77052,128401
AREA # 020102,Dimawso,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),3965,48768,52733
 Associate Scrutiny Card (blue),1,40,41
 Naturalised Scrutiny Card (green),3,144,147
 National Registration Card (3-fold),9,127,136
 Religious card,2,82,84
 Temporary Registration Card (white),-,20,20
 Foreign Registration Card (FRC),1,16,17
 Foreign Passport,-,8,8
 None,246,5009,5255
 Child under 10 years,1394,19366,20760
 Total,5621,73580,79201
AREA # 020103,Phruso,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),3179,16164,19343
 Associate Scrutiny Card (blue),-,2,2
 Naturalised Scrutiny Card (green),-,10,10
 National Registration Card (3-fold),6,59,65
 Religious card,12,20,32
 Foreign Registration Card (FRC),-,1,1
 None,131,1796,1927
 Child under 10 years,912,7082,7994
 Total,4240,25134,29374
AREA # 020104,Shardaw,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),1269,3510,4779
 Naturalised Scrutiny Card (green),-,3,3
 National Registration Card (3-fold),3,7,10
 Religious card,4,7,11
 Temporary Registration Card (white),2,2,4
 None,32,184,216
 Child under 10 years,263,1456,1719
 Total,1573,5169,6742
AREA # 020201,Bawlakhe,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),3289,3245,6534
 Naturalised Scrutiny Card (green),3,-,3
 National Registration Card (3-fold),16,6,22
 Religious card,4,12,16
 Temporary Registration Card (white),4,1,5
 None,152,124,276
 Child under 10 years,678,946,1624
 Total,4146,4334,8480
AREA # 020202,Parsaung,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),2425,13568,15993
 Associate Scrutiny Card (blue),-,8,8
 Naturalised Scrutiny Card (green),2,47,49
 National Registration Card (3-fold),9,351,360
 Religious card,10,9,19
 Temporary Registration Card (white),1,19,20
 Foreign Registration Card (FRC),1,9,10
 Foreign Passport,-,13,13
 None,107,3237,3344
 Child under 10 years,593,5185,5778
 Total,3148,22446,25594
AREA # 020203,Meisi,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),794,3525,4319
 Associate Scrutiny Card (blue),1,1,2
 Naturalised Scrutiny Card (green),-,2,2
 National Registration Card (3-fold),2,9,11
 Religious card,11,14,25
 Foreign Registration Card (FRC),-,2,2
 Foreign Passport,-,3,3
 None,42,416,458
 Child under 10 years,163,1334,1497
 Total,1013,5306,6319
AREA # 020251,Ywathit(ST),*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),1018,877,1895
 Naturalised Scrutiny Card (green),1,1,2
 National Registration Card (3-fold),5,1,6
 Religious card,6,2,8
 Foreign Registration Card (FRC),2,3,5
 Foreign Passport,-,6,6
 None,56,69,125
 Child under 10 years,240,229,469
 Total,1328,1188,2516
AREA # 030101,Hpa-an,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),44861,150905,195766
 Associate Scrutiny Card (blue),20,178,198
 Naturalised Scrutiny Card (green),395,2801,3196
 National Registration Card (3-fold),1414,3331,4745
 Religious card,409,1462,1871
 Temporary Registration Card (white),342,1584,1926
 Foreign Registration Card (FRC),2,11,13
 Foreign Passport,50,93,143
 None,14864,104245,119109
 Child under 10 years,12784,81824,94608
 Total,75141,346434,421575
AREA # 030102,Hlaingbwe,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),6346,57088,63434
 Associate Scrutiny Card (blue),3,44,47
 Naturalised Scrutiny Card (green),63,607,670
 National Registration Card (3-fold),249,950,1199
 Religious card,18,422,440
 Temporary Registration Card (white),56,334,390
 Foreign Registration Card (FRC),-,7,7
 Foreign Passport,-,81,81
 None,2579,47965,50544
 Child under 10 years,2197,36535,38732
 Total,11511,144033,155544
AREA # 030103,Thandaunggyi,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),10798,8328,19126
 Associate Scrutiny Card (blue),10,9,19
 Naturalised Scrutiny Card (green),26,34,60
 National Registration Card (3-fold),78,59,137
 Religious card,12,7,19
 Temporary Registration Card (white),54,48,102
 Foreign Passport,-,2,2
 None,1585,2184,3769
 Child under 10 years,3493,3482,6975
 Total,16056,14153,30209
AREA # 030151,Paingkyon(ST),*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),2221,28165,30386
 Associate Scrutiny Card (blue),1,18,19
 Naturalised Scrutiny Card (green),1,48,49
 National Registration Card (3-fold),43,555,598
 Religious card,25,243,268
 Temporary Registration Card (white),2,127,129
 Foreign Registration Card (FRC),-,2,2
 Foreign Passport,-,15,15
 None,805,33637,34442
 Child under 10 years,976,21720,22696
 Total,4074,84530,88604
AREA # 030152,Shan Ywathit(ST),*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),311,5995,6306
 Associate Scrutiny Card (blue),-,4,4
 National Registration Card (3-fold),-,1,1
 Religious card,1,10,11
 Temporary Registration Card (white),1,4,5
 Foreign Passport,-,4,4
 None,100,9088,9188
 Child under 10 years,118,6098,6216
 Total,531,21204,21735
AREA # 030153,Leiktho(ST),*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),2253,21803,24056
 Associate Scrutiny Card (blue),-,23,23
 Naturalised Scrutiny Card (green),1,102,103
 National Registration Card (3-fold),7,584,591
 Religious card,-,63,63
 Temporary Registration Card (white),4,405,409
 Foreign Passport,-,6,6
 None,181,9567,9748
 Child under 10 years,647,12960,13607
 Total,3093,45513,48606
AREA # 030154,Bawgali(ST),*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),1535,8023,9558
 Associate Scrutiny Card (blue),-,2,2
 Naturalised Scrutiny Card (green),-,14,14
 National Registration Card (3-fold),1,77,78
 Religious card,1,6,7
 Temporary Registration Card (white),7,85,92
 Foreign Passport,-,4,4
 None,138,3127,3265
 Child under 10 years,317,3900,4217
 Total,1999,15238,17237
AREA # 030201,Pharpon,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),2109,4294,6403
 Associate Scrutiny Card (blue),2,3,5
 Naturalised Scrutiny Card (green),4,9,13
 National Registration Card (3-fold),22,21,43
 Religious card,13,25,38
 Temporary Registration Card (white),4,6,10
 None,540,4065,4605
 Child under 10 years,634,2439,3073
 Total,3328,10862,14190
AREA # 030251,Kamamaung(ST},*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),6174,2688,8862
 Associate Scrutiny Card (blue),4,1,5
 Naturalised Scrutiny Card (green),27,2,29
 National Registration Card (3-fold),294,46,340
 Religious card,35,7,42
 Temporary Registration Card (white),182,4,186
 Foreign Passport,1,-,1
 None,3967,2239,6206
 Child under 10 years,3308,1916,5224
 Total,13992,6903,20895
AREA # 030301,Myawady,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),58576,30413,88989
 Associate Scrutiny Card (blue),54,56,110
 Naturalised Scrutiny Card (green),270,153,423
 National Registration Card (3-fold),1692,694,2386
 Religious card,507,234,741
 Temporary Registration Card (white),730,518,1248
 Foreign Registration Card (FRC),5,6,11
 Foreign Passport,26,31,57
 None,27864,30555,58419
 Child under 10 years,23431,19809,43240
 Total,113155,82469,195624
AREA # 030351,Sugali(ST),*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),178,1618,1796
 Associate Scrutiny Card (blue),-,2,2
 Naturalised Scrutiny Card (green),-,1,1
 National Registration Card (3-fold),-,13,13
 Religious card,-,17,17
 Temporary Registration Card (white),-,22,22
 Foreign Registration Card (FRC),-,2,2
 Foreign Passport,-,8,8
 None,77,2216,2293
 Child under 10 years,87,1462,1549
 Total,342,5361,5703
AREA # 030352,Wawlaymyaing(ST),*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),1593,1915,3508
 Associate Scrutiny Card (blue),1,1,2
 Naturalised Scrutiny Card (green),2,9,11
 National Registration Card (3-fold),9,25,34
 Religious card,1,13,14
 Temporary Registration Card (white),26,43,69
 Foreign Passport,-,1,1
 None,695,2415,3110
 Child under 10 years,756,1708,2464
 Total,3083,6130,9213
AREA # 030401,Kawkareik,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),22625,72910,95535
 Associate Scrutiny Card (blue),17,59,76
 Naturalised Scrutiny Card (green),232,417,649
 National Registration Card (3-fold),617,3648,4265
 Religious card,182,728,910
 Temporary Registration Card (white),959,676,1635
 Foreign Registration Card (FRC),16,3,19
 Foreign Passport,8,52,60
 None,10326,56019,66345
 Child under 10 years,7968,42880,50848
 Total,42950,177392,220342
AREA # 030402,Kyarinseikkyi,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),5133,42122,47255
 Associate Scrutiny Card (blue),4,45,49
 Naturalised Scrutiny Card (green),25,185,210
 National Registration Card (3-fold),177,1829,2006
 Religious card,49,294,343
 Temporary Registration Card (white),121,557,678
 Foreign Registration Card (FRC),-,6,6
 Foreign Passport,-,31,31
 None,1953,29749,31702
 Child under 10 years,1623,22524,24147
 Total,9085,97342,106427
AREA # 030451,Payarthonezu(ST),*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),14051,20679,34730
 Associate Scrutiny Card (blue),30,18,48
 Naturalised Scrutiny Card (green),86,66,152
 National Registration Card (3-fold),402,488,890
 Religious card,190,158,348
 Temporary Registration Card (white),259,155,414
 Foreign Registration Card (FRC),7,16,23
 Foreign Passport,13,39,52
 None,6995,24665,31660
 Child under 10 years,5278,16889,22167
 Total,27311,63173,90484
AREA # 030452,Kyaidon(ST),*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),2283,12031,14314
 Associate Scrutiny Card (blue),-,15,15
 Naturalised Scrutiny Card (green),4,27,31
 National Registration Card (3-fold),28,285,313
 Religious card,5,73,78
 Temporary Registration Card (white),6,200,206
 Foreign Registration Card (FRC),-,13,13
 Foreign Passport,-,5,5
 None,479,26586,27065
 Child under 10 years,710,15188,15898
 Total,3515,54423,57938
AREA # 040101,HaKa,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),16410,12726,29136
 Associate Scrutiny Card (blue),11,4,15
 Naturalised Scrutiny Card (green),5,7,12
 National Registration Card (3-fold),13,51,64
 Religious card,31,2,33
 Temporary Registration Card (white),21,87,108
 Foreign Registration Card (FRC),1,1,2
 Foreign Passport,17,7,24
 None,3459,4201,7660
 Child under 10 years,4958,6340,11298
 Total,24926,23426,48352
AREA # 040102,Thantlang,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),5151,23116,28267
 Associate Scrutiny Card (blue),-,6,6
 Naturalised Scrutiny Card (green),-,6,6
 National Registration Card (3-fold),19,232,251
 Religious card,6,5,11
 Temporary Registration Card (white),7,23,30
 Foreign Registration Card (FRC),1,5,6
 Foreign Passport,-,23,23
 None,799,7076,7875
 Child under 10 years,1604,12295,13899
 Total,7587,42787,50374
AREA # 040201,Falam,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),6306,18097,24403
 Associate Scrutiny Card (blue),5,5,10
 Naturalised Scrutiny Card (green),1,15,16
 National Registration Card (3-fold),4,41,45
 Religious card,15,2,17
 Temporary Registration Card (white),3,28,31
 Foreign Registration Card (FRC),-,5,5
 Foreign Passport,-,10,10
 None,1139,5462,6601
 Child under 10 years,1619,8700,10319
 Total,9092,32365,41457
AREA # 040202,Tedim,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),9203,36980,46183
 Associate Scrutiny Card (blue),1,14,15
 Naturalised Scrutiny Card (green),2,18,20
 National Registration Card (3-fold),11,265,276
 Religious card,-,18,18
 Temporary Registration Card (white),-,25,25
 Foreign Passport,-,29,29
 None,1411,15460,16871
 Child under 10 years,2824,21362,24186
 Total,13452,74171,87623
AREA # 040203,Tonzaung,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),2238,7701,9939
 Associate Scrutiny Card (blue),-,3,3
 Naturalised Scrutiny Card (green),1,10,11
 National Registration Card (3-fold),-,27,27
 Religious card,2,4,6
 Temporary Registration Card (white),-,25,25
 Foreign Passport,-,8,8
 None,557,3664,4221
 Child under 10 years,979,5503,6482
 Total,3777,16945,20722
AREA # 040251,Rihkhuadal(ST),*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),2098,1611,3709
 Associate Scrutiny Card (blue),1,3,4
 National Registration Card (3-fold),7,17,24
 Religious card,1,1,2
 Temporary Registration Card (white),-,2,2
 Foreign Passport,-,1,1
 None,638,644,1282
 Child under 10 years,859,737,1596
 Total,3604,3016,6620
AREA # 040252,Cikha(ST),*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),925,4574,5499
 Associate Scrutiny Card (blue),-,4,4
 Naturalised Scrutiny Card (green),-,1,1
 National Registration Card (3-fold),-,32,32
 Religious card,1,-,1
 Temporary Registration Card (white),-,34,34
 Foreign Registration Card (FRC),-,6,6
 None,123,2315,2438
 Child under 10 years,401,2740,3141
 Total,1450,9706,11156
AREA # 040301,Mindat,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),7508,16106,23614
 Associate Scrutiny Card (blue),1,1,2
 Naturalised Scrutiny Card (green),-,27,27
 National Registration Card (3-fold),14,179,193
 Religious card,27,51,78
