Toilet,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total
 Pit (Traditional pit latrine),8,500,508
 Bucket (Surface latrine),-,48,48
 Other,-,70,70
 No toilet,2,188,190
 Total,174,1296,1470
NotApp :,20,*,*
AREA # 010154,Shinbwayyan(ST),*,*
Toilet,Urban/Rural,*,*
*,Urban,Rural,Total
 Flush,19,4,23
 Water seal (Improved pit latrine),898,773,1671
 Pit (Traditional pit latrine),64,317,381
 Bucket (Surface latrine),1,4,5
 Other,9,1,10
 No toilet,34,6,40
 Total,1025,1105,2130
NotApp :,15,*,*
AREA # 010155,Panwa(ST),*,*
Toilet,Urban/Rural,*,*
*,Urban,Rural,Total
 Flush,9,4,13
 Water seal (Improved pit latrine),141,271,412
 Pit (Traditional pit latrine),27,495,522
 Bucket (Surface latrine),2,194,196
 Other,7,26,33
 No toilet,10,189,199
 Total,196,1179,1375
NotApp :,41,*,*
AREA # 010201,Mohnyin,*,*
Toilet,Urban/Rural,*,*
*,Urban,Rural,Total
 Flush,129,153,282
 Water seal (Improved pit latrine),5865,22051,27916
 Pit (Traditional pit latrine),335,1347,1682
 Bucket (Surface latrine),2,19,21
 Other,9,98,107
 No toilet,13,169,182
 Total,6353,23837,30190
NotApp :,542,*,*
AREA # 010202,Mogaung,*,*
Toilet,Urban/Rural,*,*
*,Urban,Rural,Total
 Flush,22,81,103
 Water seal (Improved pit latrine),3662,19151,22813
 Pit (Traditional pit latrine),733,1078,1811
 Bucket (Surface latrine),5,17,22
 Other,8,33,41
 No toilet,18,90,108
 Total,4448,20450,24898
NotApp :,208,*,*
AREA # 010203,Phakant,*,*
Toilet,Urban/Rural,*,*
*,Urban,Rural,Total
 Flush,18,617,635
 Water seal (Improved pit latrine),6426,21514,27940
 Pit (Traditional pit latrine),329,3527,3856
 Bucket (Surface latrine),6,114,120
 Other,11,85,96
 No toilet,66,421,487
 Total,6856,26278,33134
NotApp :,1665,*,*
AREA # 010251,Hopin(ST),*,*
Toilet,Urban/Rural,*,*
*,Urban,Rural,Total
 Flush,98,46,144
 Water seal (Improved pit latrine),4282,4716,8998
 Pit (Traditional pit latrine),140,98,238
 Bucket (Surface latrine),4,2,6
 Other,3,6,9
 No toilet,14,23,37
 Total,4541,4891,9432
NotApp :,114,*,*
AREA # 010252,Kamine(ST),*,*
Toilet,Urban/Rural,*,*
*,Urban,Rural,Total
 Flush,-,7,7
 Water seal (Improved pit latrine),918,2157,3075
 Pit (Traditional pit latrine),90,235,325
 Bucket (Surface latrine),2,9,11
 Other,-,35,35
 No toilet,20,25,45
 Total,1030,2468,3498
NotApp :,131,*,*
AREA # 010301,Bhamo,*,*
Toilet,Urban/Rural,*,*
*,Urban,Rural,Total
 Flush,166,114,280
 Water seal (Improved pit latrine),8666,12869,21535
 Pit (Traditional pit latrine),637,1032,1669
 Bucket (Surface latrine),5,20,25
 Other,3,110,113
 No toilet,38,501,539
 Total,9515,14646,24161
NotApp :,571,*,*
AREA # 010302,Shwegu,*,*
Toilet,Urban/Rural,*,*
*,Urban,Rural,Total
 Flush,28,28,56
 Water seal (Improved pit latrine),3277,9173,12450
 Pit (Traditional pit latrine),13,2031,2044
 Bucket (Surface latrine),1,132,133
 Other,5,64,69
 No toilet,78,998,1076
 Total,3402,12426,15828
NotApp :,336,*,*
AREA # 010303,Momauk,*,*
Toilet,Urban/Rural,*,*
*,Urban,Rural,Total
 Flush,12,18,30
 Water seal (Improved pit latrine),1918,5733,7651
 Pit (Traditional pit latrine),142,267,409
 Bucket (Surface latrine),1,18,19
 Other,6,49,55
 No toilet,11,459,470
 Total,2090,6544,8634
NotApp :,144,*,*
AREA # 010304,Mansi,*,*
Toilet,Urban/Rural,*,*
*,Urban,Rural,Total
 Flush,19,78,97
 Water seal (Improved pit latrine),1534,7963,9497
 Pit (Traditional pit latrine),42,532,574
 Bucket (Surface latrine),1,28,29
 Other,1,71,72
 No toilet,21,264,285
 Total,1618,8936,10554
NotApp :,82,*,*
AREA # 010351,Myohla(ST),*,*
Toilet,Urban/Rural,*,*
*,Urban,Rural,Total
 Flush,1,-,1
 Water seal (Improved pit latrine),280,385,665
 Pit (Traditional pit latrine),5,17,22
 No toilet,75,30,105
 Total,361,432,793
NotApp :,11,*,*
AREA # 010352,Lwe`ge`(ST),*,*
Toilet,Urban/Rural,*,*
*,Urban,Rural,Total
 Flush,3,-,3
 Water seal (Improved pit latrine),1158,261,1419
 Pit (Traditional pit latrine),51,4,55
 Bucket (Surface latrine),4,5,9
 Other,5,3,8
 No toilet,4,5,9
 Total,1225,278,1503
NotApp :,24,*,*
AREA # 010353,Dotphoneyan(ST),*,*
Toilet,Urban/Rural,*,*
*,Urban,Rural,Total
 Flush,-,23,23
 Water seal (Improved pit latrine),261,1295,1556
 Pit (Traditional pit latrine),42,207,249
 Bucket (Surface latrine),1,8,9
 Other,2,19,21
 No toilet,5,370,375
 Total,311,1922,2233
NotApp :,65,*,*
AREA # 010401,Putao,*,*
Toilet,Urban/Rural,*,*
*,Urban,Rural,Total
 Flush,4,86,90
 Water seal (Improved pit latrine),2725,6264,8989
 Pit (Traditional pit latrine),67,1436,1503
 Bucket (Surface latrine),2,64,66
 Other,7,51,58
 No toilet,6,31,37
 Total,2811,7932,10743
NotApp :,94,*,*
AREA # 010402,Sumprabum,*,*
Toilet,Urban/Rural,*,*
*,Urban,Rural,Total
 Flush,-,2,2
 Water seal (Improved pit latrine),130,112,242
 Pit (Traditional pit latrine),33,108,141
 Bucket (Surface latrine),1,17,18
 Other,6,57,63
 No toilet,2,11,13
 Total,172,307,479
NotApp :,18,*,*
AREA # 010403,Machanbaw,*,*
Toilet,Urban/Rural,*,*
*,Urban,Rural,Total
 Flush,2,67,69
 Water seal (Improved pit latrine),334,949,1283
 Pit (Traditional pit latrine),63,280,343
 Bucket (Surface latrine),2,5,7
 No toilet,7,10,17
 Total,408,1311,1719
NotApp :,31,*,*
AREA # 010404,Khaunglanphoo,*,*
Toilet,Urban/Rural,*,*
*,Urban,Rural,Total
 Flush,-,13,13
 Water seal (Improved pit latrine),5,74,79
 Pit (Traditional pit latrine),64,1507,1571
 Bucket (Surface latrine),1,41,42
 Other,-,6,6
 Total,70,1641,1711
NotApp :,2,*,*
AREA # 010405,Naungmoon,*,*
Toilet,Urban/Rural,*,*
*,Urban,Rural,Total
 Water seal (Improved pit latrine),219,276,495
 Pit (Traditional pit latrine),139,301,440
 Bucket (Surface latrine),2,5,7
 No toilet,-,1,1
 Total,360,583,943
NotApp :,4,*,*
AREA # 010451,Pannandin(ST),*,*
Toilet,Urban/Rural,*,*
*,Urban,Rural,Total
 Water seal (Improved pit latrine),11,74,85
 Pit (Traditional pit latrine),13,166,179
 Bucket (Surface latrine),-,4,4
 No toilet,-,1,1
 Total,24,245,269
NotApp :,1,*,*
AREA # 020101,Loikaw,*,*
Toilet,Urban/Rural,*,*
*,Urban,Rural,Total
 Flush,279,144,423
 Water seal (Improved pit latrine),9673,15108,24781
 Pit (Traditional pit latrine),401,247,648
 Bucket (Surface latrine),3,19,22
 Other,9,32,41
 No toilet,57,523,580
 Total,10422,16073,26495
NotApp :,304,*,*
AREA # 020102,Dimawso,*,*
Toilet,Urban/Rural,*,*
*,Urban,Rural,Total
 Flush,5,47,52
 Water seal (Improved pit latrine),1065,13018,14083
 Pit (Traditional pit latrine),20,330,350
 Bucket (Surface latrine),1,37,38
 Other,2,30,32
 No toilet,44,748,792
 Total,1137,14210,15347
NotApp :,105,*,*
AREA # 020103,Phruso,*,*
Toilet,Urban/Rural,*,*
*,Urban,Rural,Total
 Flush,1,6,7
 Water seal (Improved pit latrine),814,3329,4143
 Pit (Traditional pit latrine),21,292,313
 Bucket (Surface latrine),-,95,95
 Other,-,78,78
 No toilet,17,1257,1274
 Total,853,5057,5910
NotApp :,78,*,*
AREA # 020104,Shardaw,*,*
Toilet,Urban/Rural,*,*
*,Urban,Rural,Total
 Flush,1,-,1
 Water seal (Improved pit latrine),261,575,836
 Pit (Traditional pit latrine),41,299,340
 Bucket (Surface latrine),1,17,18
 Other,11,25,36
 No toilet,21,154,175
 Total,336,1070,1406
NotApp :,28,*,*
AREA # 020201,Bawlakhe,*,*
Toilet,Urban/Rural,*,*
*,Urban,Rural,Total
 Flush,5,-,5
 Water seal (Improved pit latrine),791,689,1480
 Pit (Traditional pit latrine),29,17,46
 Bucket (Surface latrine),1,1,2
 Other,1,-,1
 No toilet,12,43,55
 Total,839,750,1589
NotApp :,81,*,*
AREA # 020202,Parsaung,*,*
Toilet,Urban/Rural,*,*
*,Urban,Rural,Total
 Flush,1,39,40
 Water seal (Improved pit latrine),581,2851,3432
 Pit (Traditional pit latrine),4,79,83
 Bucket (Surface latrine),3,318,321
 Other,-,14,14
 No toilet,5,838,843
 Total,594,4139,4733
NotApp :,302,*,*
AREA # 020203,Meisi,*,*
Toilet,Urban/Rural,*,*
*,Urban,Rural,Total
 Flush,-,13,13
 Water seal (Improved pit latrine),182,883,1065
 Pit (Traditional pit latrine),3,69,72
 Bucket (Surface latrine),-,2,2
 Other,-,1,1
 No toilet,10,139,149
 Total,195,1107,1302
NotApp :,55,*,*
AREA # 020251,Ywathit(ST),*,*
Toilet,Urban/Rural,*,*
*,Urban,Rural,Total
 Flush,-,1,1
 Water seal (Improved pit latrine),223,152,375
 Pit (Traditional pit latrine),61,22,83
 Bucket (Surface latrine),1,1,2
 Other,1,9,10
 No toilet,6,15,21
 Total,292,200,492
NotApp :,30,*,*
AREA # 030101,Hpa-an,*,*
Toilet,Urban/Rural,*,*
*,Urban,Rural,Total
 Flush,256,1500,1756
 Water seal (Improved pit latrine),13610,51199,64809
 Pit (Traditional pit latrine),533,3281,3814
 Bucket (Surface latrine),12,410,422
 Other,16,779,795
 No toilet,341,17260,17601
 Total,14768,74429,89197
NotApp :,1176,*,*
AREA # 030102,Hlaingbwe,*,*
Toilet,Urban/Rural,*,*
*,Urban,Rural,Total
 Flush,12,327,339
 Water seal (Improved pit latrine),2164,19807,21971
 Pit (Traditional pit latrine),21,1270,1291
 Bucket (Surface latrine),1,81,82
 Other,2,136,138
 No toilet,79,7686,7765
 Total,2279,29307,31586
NotApp :,379,*,*
AREA # 030103,Thandaunggyi,*,*
Toilet,Urban/Rural,*,*
*,Urban,Rural,Total
 Flush,33,8,41
 Water seal (Improved pit latrine),2598,2118,4716
 Pit (Traditional pit latrine),230,99,329
 Bucket (Surface latrine),25,29,54
 Other,5,12,17
 No toilet,171,481,652
 Total,3062,2747,5809
NotApp :,36,*,*
AREA # 030151,Paingkyon(ST),*,*
Toilet,Urban/Rural,*,*
*,Urban,Rural,Total
 Flush,-,275,275
 Water seal (Improved pit latrine),671,6447,7118
 Pit (Traditional pit latrine),2,591,593
 Bucket (Surface latrine),-,111,111
 Other,3,34,37
 No toilet,131,9513,9644
 Total,807,16971,17778
NotApp :,210,*,*
AREA # 030152,Shan Ywathit(ST),*,*
Toilet,Urban/Rural,*,*
*,Urban,Rural,Total
 Flush,-,5,5
 Water seal (Improved pit latrine),23,633,656
 Pit (Traditional pit latrine),-,5,5
 Bucket (Surface latrine),-,4,4
 Other,-,17,17
 No toilet,60,3009,3069
 Total,83,3673,3756
NotApp :,29,*,*
AREA # 030153,Leiktho(ST),*,*
Toilet,Urban/Rural,*,*
*,Urban,Rural,Total
 Flush,5,8,13
 Water seal (Improved pit latrine),563,5097,5660
 Pit (Traditional pit latrine),19,1548,1567
 Bucket (Surface latrine),2,440,442
 Other,1,101,102
 No toilet,17,2125,2142
 Total,607,9319,9926
NotApp :,73,*,*
AREA # 030154,Bawgali(ST),*,*
Toilet,Urban/Rural,*,*
*,Urban,Rural,Total
 Flush,8,1,9
 Water seal (Improved pit latrine),404,1562,1966
 Pit (Traditional pit latrine),18,304,322
 Bucket (Surface latrine),3,326,329
 Other,1,17,18
 No toilet,2,759,761
 Total,436,2969,3405
NotApp :,7,*,*
AREA # 030201,Pharpon,*,*
Toilet,Urban/Rural,*,*
*,Urban,Rural,Total
 Flush,1,17,18
 Water seal (Improved pit latrine),544,1490,2034
 Pit (Traditional pit latrine),27,120,147
 Bucket (Surface latrine),19,31,50
 Other,2,8,10
 No toilet,40,245,285
 Total,633,1911,2544
NotApp :,108,*,*
AREA # 030251,Kamamaung(ST},*,*
Toilet,Urban/Rural,*,*
*,Urban,Rural,Total
 Flush,3,-,3
 Water seal (Improved pit latrine),2261,592,2853
 Pit (Traditional pit latrine),181,53,234
 Bucket (Surface latrine),5,27,32
 Other,3,6,9
 No toilet,296,531,827
 Total,2749,1209,3958
NotApp :,52,*,*
AREA # 030301,Myawady,*,*
Toilet,Urban/Rural,*,*
*,Urban,Rural,Total
 Flush,208,365,573
 Water seal (Improved pit latrine),23385,11902,35287
 Pit (Traditional pit latrine),125,280,405
 Bucket (Surface latrine),6,220,226
 Other,25,255,280
 No toilet,267,4220,4487
 Total,24016,17242,41258
NotApp :,937,*,*
AREA # 030351,Sugali(ST),*,*
Toilet,Urban/Rural,*,*
*,Urban,Rural,Total
 Flush,2,5,7
 Water seal (Improved pit latrine),42,415,457
 Pit (Traditional pit latrine),-,138,138
 Bucket (Surface latrine),-,10,10
 Other,-,4,4
 No toilet,31,414,445
 Total,75,986,1061
NotApp :,24,*,*
AREA # 030352,Wawlaymyaing(ST),*,*
Toilet,Urban/Rural,*,*
*,Urban,Rural,Total
 Flush,1,4,5
 Water seal (Improved pit latrine),501,460,961
 Pit (Traditional pit latrine),9,243,252
 Bucket (Surface latrine),8,51,59
 Other,1,8,9
 No toilet,57,354,411
 Total,577,1120,1697
NotApp :,44,*,*
AREA # 030401,Kawkareik,*,*
Toilet,Urban/Rural,*,*
*,Urban,Rural,Total
 Flush,92,696,788
 Water seal (Improved pit latrine),7927,23380,31307
 Pit (Traditional pit latrine),72,1198,1270
 Bucket (Surface latrine),23,364,387
 Other,9,348,357
 No toilet,359,11030,11389
 Total,8482,37016,45498
NotApp :,393,*,*
AREA # 030402,Kyarinseikkyi,*,*
Toilet,Urban/Rural,*,*
*,Urban,Rural,Total
 Flush,5,141,146
 Water seal (Improved pit latrine),1687,11697,13384
 Pit (Traditional pit latrine),21,2519,2540
 Bucket (Surface latrine),4,251,255
 Other,8,340,348
 No toilet,92,5275,5367
 Total,1817,20223,22040
NotApp :,270,*,*
AREA # 030451,Payarthonezu(ST),*,*
Toilet,Urban/Rural,*,*
*,Urban,Rural,Total
 Flush,89,89,178
 Water seal (Improved pit latrine),5775,5738,11513
 Pit (Traditional pit latrine),32,1173,1205
 Bucket (Surface latrine),28,359,387
 Other,5,147,152
 No toilet,167,4193,4360
 Total,6096,11699,17795
NotApp :,271,*,*
AREA # 030452,Kyaidon(ST),*,*
Toilet,Urban/Rural,*,*
*,Urban,Rural,Total
 Flush,-,32,32
 Water seal (Improved pit latrine),614,2787,3401
 Pit (Traditional pit latrine),7,816,823
 Bucket (Surface latrine),3,201,204
 Other,-,113,113
 No toilet,56,6104,6160
 Total,680,10053,10733
NotApp :,114,*,*
AREA # 040101,HaKa,*,*
Toilet,Urban/Rural,*,*
*,Urban,Rural,Total
 Flush,35,3,38
 Water seal (Improved pit latrine),5141,4479,9620
 Pit (Traditional pit latrine),22,162,184
 Bucket (Surface latrine),4,7,11
 Other,11,20,31
 No toilet,8,25,33
 Total,5221,4696,9917
NotApp :,107,*,*
AREA # 040102,Thantlang,*,*
Toilet,Urban/Rural,*,*
*,Urban,Rural,Total
 Flush,21,23,44
 Water seal (Improved pit latrine),1476,7188,8664
 Pit (Traditional pit latrine),5,335,340
 Bucket (Surface latrine),4,20,24
 Other,-,11,11
 No toilet,1,698,699
 Total,1507,8275,9782
NotApp :,38,*,*
AREA # 040201,Falam,*,*
Toilet,Urban/Rural,*,*
*,Urban,Rural,Total
 Flush,15,31,46
 Water seal (Improved pit latrine),1975,6007,7982
 Pit (Traditional pit latrine),8,126,134
 Bucket (Surface latrine),-,30,30
 Other,2,20,22
 No toilet,2,212,214
 Total,2002,6426,8428
NotApp :,60,*,*
AREA # 040202,Tedim,*,*
Toilet,Urban/Rural,*,*
*,Urban,Rural,Total
 Flush,15,70,85
 Water seal (Improved pit latrine),2213,11430,13643
 Pit (Traditional pit latrine),13,581,594
 Bucket (Surface latrine),1,45,46
 Other,1,25,26
 No toilet,7,282,289
 Total,2250,12433,14683
NotApp :,65,*,*
AREA # 040203,Tonzaung,*,*
Toilet,Urban/Rural,*,*
*,Urban,Rural,Total
 Flush,2,71,73
 Water seal (Improved pit latrine),631,2096,2727
 Pit (Traditional pit latrine),-,118,118
 Bucket (Surface latrine),-,52,52
 Other,1,9,10
 No toilet,6,425,431
 Total,640,2771,3411
NotApp :,37,*,*
AREA # 040251,Rihkhuadal(ST),*,*
Toilet,Urban/Rural,*,*
*,Urban,Rural,Total
 Flush,3,-,3
 Water seal (Improved pit latrine),664,466,1130
 Pit (Traditional pit latrine),1,39,40
 Other,-,2,2
 No toilet,2,21,23
 Total,670,528,1198
NotApp :,12,*,*
AREA # 040252,Cikha(ST),*,*
Toilet,Urban/Rural,*,*
*,Urban,Rural,Total
 Flush,13,23,36
 Water seal (Improved pit latrine),196,1037,1233
 Pit (Traditional pit latrine),2,79,81
 Bucket (Surface latrine),-,12,12
 Other,-,7,7
 No toilet,4,157,161
 Total,215,1315,1530
NotApp :,6,*,*
AREA # 040301,Mindat,*,*
Toilet,Urban/Rural,*,*
*,Urban,Rural,Total
 Flush,2,46,48
 Water seal (Improved pit latrine),2043,5147,7190
 Pit (Traditional pit latrine),218,701,919
 Bucket (Surface latrine),9,15,24
 Other,48,47,95
 No toilet,23,223,246
 Total,2343,6179,8522
NotApp :,95,*,*
AREA # 040302,Matupi,*,*
Toilet,Urban/Rural,*,*
*,Urban,Rural,Total
 Flush,50,25,75
 Water seal (Improved pit latrine),1600,4333,5933
 Pit (Traditional pit latrine),16,1103,1119
 Bucket (Surface latrine),2,51,53
 Other,1,68,69
 No toilet,1,386,387
 Total,1670,5966,7636
NotApp :,43,*,*
AREA # 040303,Kanpalet,*,*
Toilet,Urban/Rural,*,*
*,Urban,Rural,Total
 Flush,4,1,5
 Water seal (Improved pit latrine),677,1465,2142
 Pit (Traditional pit latrine),102,771,873
 Bucket (Surface latrine),-,68,68
 Other,1,99,100
 No toilet,23,766,789
 Total,807,3170,3977
NotApp :,66,*,*
AREA # 040304,Paletwat,*,*
Toilet,Urban/Rural,*,*
*,Urban,Rural,Total
 Flush,6,31,37
 Water seal (Improved pit latrine),999,2689,3688
 Pit (Traditional pit latrine),144,1682,1826
 Bucket (Surface latrine),6,504,510
 Other,4,74,78
 No toilet,191,6963,7154
 Total,1350,11943,13293
NotApp :,86,*,*
AREA # 040351,Reazu(ST),*,*
Toilet,Urban/Rural,*,*
*,Urban,Rural,Total
 Flush,-,2,2
 Water seal (Improved pit latrine),429,2038,2467
 Pit (Traditional pit latrine),25,5,30
 Bucket (Surface latrine),1,1,2
 Other,-,5,5
 No toilet,7,8,15
 Total,462,2059,2521
NotApp :,14,*,*
AREA # 040352,Sami(ST),*,*
Toilet,Urban/Rural,*,*
*,Urban,Rural,Total
 Flush,7,5,12
 Water seal (Improved pit latrine),174,829,1003
 Pit (Traditional pit latrine),121,847,968
 Bucket (Surface latrine),5,212,217
 Other,-,57,57
 No toilet,326,3640,3966
 Total,633,5590,6223
NotApp :,100,*,*
AREA # 050101,Sagaing,*,*
Toilet,Urban/Rural,*,*
*,Urban,Rural,Total
 Flush,668,816,1484
 Water seal (Improved pit latrine),14648,36677,51325
 Pit (Traditional pit latrine),419,1476,1895
 Bucket (Surface latrine),17,73,90
 Other,37,190,227
 No toilet,707,9415,10122
 Total,16496,48647,65143
NotApp :,1842,*,*
AREA # 050102,Myinmu,*,*
Toilet,Urban/Rural,*,*
*,Urban,Rural,Total
 Flush,49,813,862
 Water seal (Improved pit latrine),3035,12952,15987
 Pit (Traditional pit latrine),304,749,1053
 Bucket (Surface latrine),24,58,82
 Other,31,85,116
 No toilet,188,7016,7204
 Total,3631,21673,25304
NotApp :,264,*,*
AREA # 050103,Myaung,*,*
Toilet,Urban/Rural,*,*
*,Urban,Rural,Total
 Flush,31,453,484
 Water seal (Improved pit latrine),1615,12375,13990
 Pit (Traditional pit latrine),100,1428,1528
 Bucket (Surface latrine),9,158,167
 Other,5,57,62
 No toilet,193,7838,8031
 Total,1953,22309,24262
NotApp :,350,*,*
AREA # 050201,Shwebo,*,*
Toilet,Urban/Rural,*,*
*,Urban,Rural,Total
 Flush,137,501,638
 Water seal (Improved pit latrine),12726,27238,39964
 Pit (Traditional pit latrine),192,474,666
 Bucket (Surface latrine),13,69,82
 Other,22,150,172
 No toilet,441,8284,8725
 Total,13531,36716,50247
NotApp :,467,*,*
AREA # 050202,Khin U,*,*
Toilet,Urban/Rural,*,*
*,Urban,Rural,Total
 Flush,40,413,453
 Water seal (Improved pit latrine),2118,17318,19436
 Pit (Traditional pit latrine),1,4661,4662
 Bucket (Surface latrine),1,67,68
 Other,3,38,41
 No toilet,128,7836,7964
 Total,2291,30333,32624
NotApp :,271,*,*
AREA # 050203,Wetlet,*,*
Toilet,Urban/Rural,*,*
*,Urban,Rural,Total
 Flush,55,552,607
 Water seal (Improved pit latrine),2133,25617,27750
 Pit (Traditional pit latrine),13,2789,2802
 Bucket (Surface latrine),-,46,46
 Other,2,131,133
 No toilet,103,15271,15374
 Total,2306,44406,46712
NotApp :,437,*,*
AREA # 050204,Kambalu,*,*
Toilet,Urban/Rural,*,*
*,Urban,Rural,Total
 Flush,84,703,787
 Water seal (Improved pit latrine),4481,34588,39069
 Pit (Traditional pit latrine),375,12437,12812
 Bucket (Surface latrine),1,261,262
 Other,5,775,780
 No toilet,237,7379,7616
 Total,5183,56143,61326
NotApp :,537,*,*
AREA # 050205,Kyunhlau,*,*
Toilet,Urban/Rural,*,*
*,Urban,Rural,Total
 Flush,30,23,53
 Water seal (Improved pit latrine),2439,16527,18966
 Pit (Traditional pit latrine),7,350,357
 Bucket (Surface latrine),2,38,40
 Other,-,141,141
 No toilet,21,1285,1306
 Total,2499,18364,20863
NotApp :,224,*,*
AREA # 050206,Ye U,*,*
Toilet,Urban/Rural,*,*
*,Urban,Rural,Total
 Flush,62,160,222
 Water seal (Improved pit latrine),3556,17662,21218
 Pit (Traditional pit latrine),110,1016,1126
 Bucket (Surface latrine),4,49,53
 Other,3,101,104
 No toilet,230,3420,3650
 Total,3965,22408,26373
NotApp :,308,*,*
AREA # 050207,Depayin,*,*
Toilet,Urban/Rural,*,*
*,Urban,Rural,Total
 Flush,116,197,313
 Water seal (Improved pit latrine),793,18205,18998
 Pit (Traditional pit latrine),15,803,818
 Bucket (Surface latrine),-,92,92
 Other,1,53,54
 No toilet,30,10040,10070
 Total,955,29390,30345
NotApp :,367,*,*
AREA # 050208,Tasei,*,*
Toilet,Urban/Rural,*,*
*,Urban,Rural,Total
 Flush,106,314,420
 Water seal (Improved pit latrine),2701,26224,28925
 Pit (Traditional pit latrine),111,2098,2209
 Bucket (Surface latrine),-,36,36
 Other,-,62,62
 No toilet,54,4231,4285
 Total,2972,32965,35937
NotApp :,328,*,*
AREA # 050251,Kyaukmyaung(ST),*,*
Toilet,Urban/Rural,*,*
*,Urban,Rural,Total
 Flush,28,112,140
 Water seal (Improved pit latrine),1727,2228,3955
 Pit (Traditional pit latrine),17,187,204
 Bucket (Surface latrine),2,90,92
 Other,2,-,2
 No toilet,530,2127,2657
 Total,2306,4744,7050
NotApp :,65,*,*
AREA # 050301,Monywa,*,*
Toilet,Urban/Rural,*,*
*,Urban,Rural,Total
 Flush,1310,338,1648
 Water seal (Improved pit latrine),35920,25392,61312
 Pit (Traditional pit latrine),1764,1038,2802
 Bucket (Surface latrine),36,28,64
 Other,49,72,121
 No toilet,1327,8688,10015
 Total,40406,35556,75962
NotApp :,1167,*,*
AREA # 050302,Butalin,*,*
Toilet,Urban/Rural,*,*
*,Urban,Rural,Total
 Flush,14,280,294
 Water seal (Improved pit latrine),1111,18125,19236
 Pit (Traditional pit latrine),2,372,374
 Bucket (Surface latrine),1,55,56
 Other,19,22,41
 No toilet,46,8569,8615
 Total,1193,27423,28616
NotApp :,389,*,*
AREA # 050303,Ayartaw,*,*
Toilet,Urban/Rural,*,*
*,Urban,Rural,Total
 Flush,16,237,253
 Water seal (Improved pit latrine),1986,21895,23881
 Pit (Traditional pit latrine),31,2005,2036
 Bucket (Surface latrine),5,172,177
 Other,1,202,203
 No toilet,116,8925,9041
 Total,2155,33436,35591
NotApp :,378,*,*
AREA # 050304,Chaung Oo,*,*
Toilet,Urban/Rural,*,*
*,Urban,Rural,Total
 Flush,93,432,525
 Water seal (Improved pit latrine),4229,13551,17780
 Pit (Traditional pit latrine),27,196,223
 Bucket (Surface latrine),8,22,30
 Other,6,31,37
 No toilet,718,4063,4781
 Total,5081,18295,23376
NotApp :,254,*,*
