Activity_status,Sex_Male,Sex_Female,Sex_Total
 Employer,1587,485,2072
 Own account worker,16772,8352,25124
 Contributing family worker,4630,3943,8573
 Sought work,1665,907,2572
 Did not seek work,508,259,767
 Full time student,9601,11234,20835
 Household work,608,21427,22035
" Pensioner, retired, elderly person",1911,3912,5823
" Ill, disabled",322,311,633
 Other,1308,579,1887
 Total,49317,55698,105015
NotApp :,27593,*,*
AREA # 010203,Phakant,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),1320,1054,2374
" Employee (Private, Org)",78694,10495,89189
 Employer,6339,1277,7616
 Own account worker,60534,15178,75712
 Contributing family worker,6762,4771,11533
 Sought work,2651,917,3568
 Did not seek work,299,102,401
 Full time student,13928,13673,27601
 Household work,1154,36775,37929
" Pensioner, retired, elderly person",1399,2690,4089
" Ill, disabled",247,249,496
 Other,5587,2866,8453
 Total,178914,90047,268961
NotApp :,43317,*,*
AREA # 010251,Hopin(ST),*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),896,799,1695
" Employee (Private, Org)",2876,935,3811
 Employer,639,264,903
 Own account worker,6142,3542,9684
 Contributing family worker,1610,2160,3770
 Sought work,563,485,1048
 Did not seek work,53,27,80
 Full time student,3679,4332,8011
 Household work,272,6944,7216
" Pensioner, retired, elderly person",705,1443,2148
" Ill, disabled",131,175,306
 Other,544,291,835
 Total,18110,21397,39507
NotApp :,9187,*,*
AREA # 010252,Kamine(ST),*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),108,135,243
" Employee (Private, Org)",995,235,1230
 Employer,210,47,257
 Own account worker,2801,837,3638
 Contributing family worker,446,324,770
 Sought work,434,123,557
 Did not seek work,33,8,41
 Full time student,1497,1703,3200
 Household work,161,3192,3353
" Pensioner, retired, elderly person",281,526,807
" Ill, disabled",61,80,141
 Other,299,161,460
 Total,7326,7371,14697
NotApp :,4733,*,*
AREA # 010301,Bhamo,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),3183,1992,5175
" Employee (Private, Org)",8054,3720,11774
 Employer,995,463,1458
 Own account worker,18708,12938,31646
 Contributing family worker,5316,5854,11170
 Sought work,1191,707,1898
 Did not seek work,158,79,237
 Full time student,9359,10359,19718
 Household work,859,14556,15415
" Pensioner, retired, elderly person",2288,3980,6268
" Ill, disabled",391,364,755
 Other,2679,1179,3858
 Total,53181,56191,109372
NotApp :,26505,*,*
AREA # 010302,Shwegu,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),1023,841,1864
" Employee (Private, Org)",6354,2861,9215
 Employer,1140,494,1634
 Own account worker,12420,5908,18328
 Contributing family worker,5091,6802,11893
 Sought work,580,572,1152
 Did not seek work,60,28,88
 Full time student,5813,6273,12086
 Household work,305,9612,9917
" Pensioner, retired, elderly person",1380,2427,3807
" Ill, disabled",226,205,431
 Other,1110,290,1400
 Total,35502,36313,71815
NotApp :,18876,*,*
AREA # 010303,Momauk,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),1217,460,1677
" Employee (Private, Org)",1671,927,2598
 Employer,1902,510,2412
 Own account worker,3970,2974,6944
 Contributing family worker,2241,3290,5531
 Sought work,333,218,551
 Did not seek work,29,21,50
 Full time student,3038,3248,6286
 Household work,263,3486,3749
" Pensioner, retired, elderly person",673,1359,2032
" Ill, disabled",153,171,324
 Other,462,309,771
 Total,15952,16973,32925
NotApp :,8637,*,*
AREA # 010304,Mansi,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),620,455,1075
" Employee (Private, Org)",1703,783,2486
 Employer,429,278,707
 Own account worker,10030,6982,17012
 Contributing family worker,1732,2479,4211
 Sought work,749,498,1247
 Did not seek work,19,20,39
 Full time student,3658,3775,7433
 Household work,276,4220,4496
" Pensioner, retired, elderly person",677,1282,1959
" Ill, disabled",157,121,278
 Other,481,444,925
 Total,20531,21337,41868
NotApp :,11077,*,*
AREA # 010351,Myohla(ST),*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),49,26,75
" Employee (Private, Org)",214,28,242
 Employer,16,3,19
 Own account worker,668,220,888
 Contributing family worker,270,475,745
 Sought work,18,15,33
 Did not seek work,1,-,1
 Full time student,269,307,576
 Household work,2,332,334
" Pensioner, retired, elderly person",47,100,147
" Ill, disabled",14,6,20
 Other,39,13,52
 Total,1607,1525,3132
NotApp :,961,*,*
AREA # 010352,Lwe`ge`(ST),*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),127,93,220
" Employee (Private, Org)",575,309,884
 Employer,83,54,137
 Own account worker,1535,1112,2647
 Contributing family worker,507,650,1157
 Sought work,88,55,143
 Did not seek work,12,7,19
 Full time student,645,707,1352
 Household work,69,712,781
" Pensioner, retired, elderly person",176,280,456
" Ill, disabled",45,42,87
 Other,123,106,229
 Total,3985,4127,8112
NotApp :,1927,*,*
AREA # 010353,Dotphoneyan(ST),*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),265,90,355
" Employee (Private, Org)",519,248,767
 Employer,39,12,51
 Own account worker,1346,327,1673
 Contributing family worker,1217,1371,2588
 Sought work,62,32,94
 Did not seek work,9,4,13
 Full time student,751,668,1419
 Household work,105,1213,1318
" Pensioner, retired, elderly person",142,308,450
" Ill, disabled",25,42,67
 Other,127,63,190
 Total,4607,4378,8985
NotApp :,2328,*,*
AREA # 010401,Putao,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),1301,605,1906
" Employee (Private, Org)",2941,1755,4696
 Employer,113,60,173
 Own account worker,6229,2265,8494
 Contributing family worker,3099,2277,5376
 Sought work,572,323,895
 Did not seek work,346,172,518
 Full time student,5452,5850,11302
 Household work,856,8168,9024
" Pensioner, retired, elderly person",798,1229,2027
" Ill, disabled",204,246,450
 Other,208,109,317
 Total,22119,23059,45178
NotApp :,15897,*,*
AREA # 010402,Sumprabum,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),98,59,157
" Employee (Private, Org)",106,18,124
 Employer,9,5,14
 Own account worker,370,295,665
 Contributing family worker,63,22,85
 Sought work,19,6,25
 Did not seek work,2,-,2
 Full time student,211,249,460
 Household work,55,224,279
" Pensioner, retired, elderly person",19,40,59
" Ill, disabled",2,8,10
 Other,14,8,22
 Total,968,934,1902
NotApp :,644,*,*
AREA # 010403,Machanbaw,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),360,200,560
" Employee (Private, Org)",240,64,304
 Employer,27,12,39
 Own account worker,1248,639,1887
 Contributing family worker,377,530,907
 Sought work,59,27,86
 Did not seek work,3,4,7
 Full time student,672,738,1410
 Household work,30,794,824
" Pensioner, retired, elderly person",92,136,228
" Ill, disabled",57,45,102
 Other,50,27,77
 Total,3215,3216,6431
NotApp :,2427,*,*
AREA # 010404,Khaunglanphoo,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),86,34,120
" Employee (Private, Org)",52,12,64
 Employer,64,13,77
 Own account worker,1703,280,1983
 Contributing family worker,1091,620,1711
 Sought work,61,57,118
 Did not seek work,23,18,41
 Full time student,1425,1379,2804
 Household work,83,2004,2087
" Pensioner, retired, elderly person",176,205,381
" Ill, disabled",8,9,17
 Other,43,48,91
 Total,4815,4679,9494
NotApp :,2161,*,*
AREA # 010405,Naungmoon,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),216,135,351
" Employee (Private, Org)",97,39,136
 Employer,1,3,4
 Own account worker,592,137,729
 Contributing family worker,77,267,344
 Sought work,284,130,414
 Did not seek work,9,9,18
 Full time student,542,558,1100
 Household work,37,591,628
" Pensioner, retired, elderly person",63,59,122
" Ill, disabled",17,36,53
 Other,17,6,23
 Total,1952,1970,3922
NotApp :,1443,*,*
AREA # 010451,Pannandin(ST),*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),31,14,45
" Employee (Private, Org)",63,22,85
 Employer,1,-,1
 Own account worker,210,52,262
 Contributing family worker,86,208,294
 Sought work,53,19,72
 Did not seek work,4,2,6
 Full time student,149,130,279
 Household work,30,89,119
" Pensioner, retired, elderly person",20,28,48
" Ill, disabled",8,2,10
 Other,1,1,2
 Total,656,567,1223
NotApp :,535,*,*
AREA # 020101,Loikaw,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),3955,3200,7155
" Employee (Private, Org)",9627,3683,13310
 Employer,1413,499,1912
 Own account worker,14946,10537,25483
 Contributing family worker,4733,5393,10126
 Sought work,1113,745,1858
 Did not seek work,227,125,352
 Full time student,8847,10096,18943
 Household work,480,13906,14386
" Pensioner, retired, elderly person",2222,2812,5034
" Ill, disabled",399,322,721
 Other,1765,817,2582
 Total,49727,52135,101862
NotApp :,26539,*,*
AREA # 020102,Dimawso,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),988,890,1878
" Employee (Private, Org)",2691,1376,4067
 Employer,424,188,612
 Own account worker,9933,6755,16688
 Contributing family worker,5452,5845,11297
 Sought work,765,515,1280
 Did not seek work,178,114,292
 Full time student,5220,5649,10869
 Household work,766,7012,7778
" Pensioner, retired, elderly person",1089,1321,2410
" Ill, disabled",253,257,510
 Other,494,266,760
 Total,28253,30188,58441
NotApp :,20760,*,*
AREA # 020103,Phruso,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),807,301,1108
" Employee (Private, Org)",634,201,835
 Employer,60,59,119
 Own account worker,3803,3642,7445
 Contributing family worker,2495,3246,5741
 Sought work,158,106,264
 Did not seek work,51,15,66
 Full time student,1772,1903,3675
 Household work,192,932,1124
" Pensioner, retired, elderly person",270,358,628
" Ill, disabled",55,55,110
 Other,130,135,265
 Total,10427,10953,21380
NotApp :,7994,*,*
AREA # 020104,Shardaw,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),156,105,261
" Employee (Private, Org)",100,15,115
 Employer,13,15,28
 Own account worker,1320,1153,2473
 Contributing family worker,415,537,952
 Sought work,30,21,51
 Did not seek work,7,2,9
 Full time student,341,363,704
 Household work,29,179,208
" Pensioner, retired, elderly person",53,94,147
" Ill, disabled",20,21,41
 Other,29,5,34
 Total,2513,2510,5023
NotApp :,1719,*,*
AREA # 020201,Bawlakhe,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),877,233,1110
" Employee (Private, Org)",675,256,931
 Employer,56,12,68
 Own account worker,1273,741,2014
 Contributing family worker,306,396,702
 Sought work,33,23,56
 Did not seek work,6,5,11
 Full time student,428,491,919
 Household work,25,736,761
" Pensioner, retired, elderly person",98,117,215
" Ill, disabled",15,18,33
 Other,27,9,36
 Total,3819,3037,6856
NotApp :,1624,*,*
AREA # 020202,Parsaung,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),621,249,870
" Employee (Private, Org)",3791,993,4784
 Employer,368,84,452
 Own account worker,3239,1495,4734
 Contributing family worker,818,885,1703
 Sought work,110,57,167
 Did not seek work,40,17,57
 Full time student,1429,1537,2966
 Household work,98,2990,3088
" Pensioner, retired, elderly person",250,359,609
" Ill, disabled",38,41,79
 Other,182,125,307
 Total,10984,8832,19816
NotApp :,5778,*,*
AREA # 020203,Meisi,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),413,91,504
" Employee (Private, Org)",446,188,634
 Employer,21,11,32
 Own account worker,897,285,1182
 Contributing family worker,309,522,831
 Sought work,48,19,67
 Did not seek work,1,3,4
 Full time student,323,372,695
 Household work,15,616,631
" Pensioner, retired, elderly person",46,64,110
" Ill, disabled",15,3,18
 Other,81,33,114
 Total,2615,2207,4822
NotApp :,1497,*,*
AREA # 020251,Ywathit(ST),*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),219,39,258
" Employee (Private, Org)",114,53,167
 Employer,10,1,11
 Own account worker,532,221,753
 Contributing family worker,65,19,84
 Sought work,7,7,14
 Full time student,125,135,260
 Household work,20,354,374
" Pensioner, retired, elderly person",20,22,42
" Ill, disabled",10,9,19
 Other,58,7,65
 Total,1180,867,2047
NotApp :,469,*,*
AREA # 030101,Hpa-an,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),6389,4978,11367
" Employee (Private, Org)",22894,9406,32300
 Employer,3324,1266,4590
 Own account worker,44730,21673,66403
 Contributing family worker,10064,13337,23401
 Sought work,9089,4235,13324
 Did not seek work,1764,868,2632
 Full time student,26898,29061,55959
 Household work,3217,65714,68931
" Pensioner, retired, elderly person",8241,11143,19384
" Ill, disabled",1717,1572,3289
 Other,17453,7934,25387
 Total,155780,171187,326967
NotApp :,94608,*,*
AREA # 030102,Hlaingbwe,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),1787,991,2778
" Employee (Private, Org)",7776,2502,10278
 Employer,1245,274,1519
 Own account worker,13007,4182,17189
 Contributing family worker,4585,4444,9029
 Sought work,5577,2342,7919
 Did not seek work,1696,919,2615
 Full time student,8177,9865,18042
 Household work,899,27015,27914
" Pensioner, retired, elderly person",3363,4235,7598
" Ill, disabled",699,601,1300
 Other,7402,3229,10631
 Total,56213,60599,116812
NotApp :,38732,*,*
AREA # 030103,Thandaunggyi,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),1263,569,1832
" Employee (Private, Org)",1327,376,1703
 Employer,101,46,147
 Own account worker,4413,1090,5503
 Contributing family worker,1288,772,2060
 Sought work,337,273,610
 Did not seek work,54,68,122
 Full time student,2237,2531,4768
 Household work,101,4879,4980
" Pensioner, retired, elderly person",299,537,836
" Ill, disabled",97,114,211
 Other,283,179,462
 Total,11800,11434,23234
NotApp :,6975,*,*
AREA # 030151,Paingkyon(ST),*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),384,307,691
" Employee (Private, Org)",2933,1069,4002
 Employer,417,126,543
 Own account worker,10924,3986,14910
 Contributing family worker,2620,2083,4703
 Sought work,2872,1699,4571
 Did not seek work,945,528,1473
 Full time student,3807,4802,8609
 Household work,726,15362,16088
" Pensioner, retired, elderly person",1796,2592,4388
" Ill, disabled",334,361,695
 Other,3533,1702,5235
 Total,31291,34617,65908
NotApp :,22696,*,*
AREA # 030152,Shan Ywathit(ST),*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),47,16,63
" Employee (Private, Org)",800,217,1017
 Employer,63,13,76
 Own account worker,3101,897,3998
 Contributing family worker,2225,2128,4353
 Sought work,164,115,279
 Did not seek work,247,185,432
 Full time student,582,738,1320
 Household work,154,2904,3058
" Pensioner, retired, elderly person",140,229,369
" Ill, disabled",27,22,49
 Other,324,181,505
 Total,7874,7645,15519
NotApp :,6216,*,*
AREA # 030153,Leiktho(ST),*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),373,323,696
" Employee (Private, Org)",595,254,849
 Employer,218,69,287
 Own account worker,9220,2953,12173
 Contributing family worker,2132,2326,4458
 Sought work,733,442,1175
 Did not seek work,76,47,123
 Full time student,2931,3141,6072
 Household work,246,6454,6700
" Pensioner, retired, elderly person",464,687,1151
" Ill, disabled",135,126,261
 Other,584,470,1054
 Total,17707,17292,34999
NotApp :,13607,*,*
AREA # 030154,Bawgali(ST),*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),86,82,168
" Employee (Private, Org)",294,115,409
 Employer,41,14,55
 Own account worker,3344,1895,5239
 Contributing family worker,920,639,1559
 Sought work,72,69,141
 Did not seek work,24,33,57
 Full time student,955,1045,2000
 Household work,127,2218,2345
" Pensioner, retired, elderly person",244,334,578
" Ill, disabled",39,37,76
 Other,241,152,393
 Total,6387,6633,13020
NotApp :,4217,*,*
AREA # 030201,Pharpon,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),1142,201,1343
" Employee (Private, Org)",847,268,1115
 Employer,36,14,50
 Own account worker,921,376,1297
 Contributing family worker,302,331,633
 Sought work,539,283,822
 Did not seek work,226,142,368
 Full time student,1238,1235,2473
 Household work,200,1717,1917
" Pensioner, retired, elderly person",167,220,387
" Ill, disabled",30,29,59
 Other,398,255,653
 Total,6046,5071,11117
NotApp :,3073,*,*
AREA # 030251,Kamamaung(ST},*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),769,170,939
" Employee (Private, Org)",2123,500,2623
 Employer,107,36,143
 Own account worker,1618,1067,2685
 Contributing family worker,460,398,858
 Sought work,338,130,468
 Did not seek work,145,42,187
 Full time student,1461,1512,2973
 Household work,213,3574,3787
" Pensioner, retired, elderly person",315,409,724
" Ill, disabled",107,67,174
 Other,80,30,110
 Total,7736,7935,15671
NotApp :,5224,*,*
AREA # 030301,Myawady,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),3299,958,4257
" Employee (Private, Org)",22669,7675,30344
 Employer,2162,638,2800
 Own account worker,21536,9728,31264
 Contributing family worker,4783,4580,9363
 Sought work,3106,1456,4562
 Did not seek work,693,427,1120
 Full time student,9860,9888,19748
 Household work,1589,33250,34839
" Pensioner, retired, elderly person",2300,3023,5323
" Ill, disabled",561,386,947
 Other,5093,2724,7817
 Total,77651,74733,152384
NotApp :,43240,*,*
AREA # 030351,Sugali(ST),*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),28,10,38
" Employee (Private, Org)",270,113,383
 Employer,111,87,198
 Own account worker,896,278,1174
 Contributing family worker,347,299,646
 Sought work,18,9,27
 Did not seek work,9,1,10
 Full time student,262,283,545
 Household work,19,740,759
" Pensioner, retired, elderly person",37,49,86
" Ill, disabled",8,9,17
 Other,180,91,271
 Total,2185,1969,4154
NotApp :,1549,*,*
AREA # 030352,Wawlaymyaing(ST),*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),54,19,73
" Employee (Private, Org)",766,279,1045
 Employer,68,27,95
 Own account worker,895,414,1309
 Contributing family worker,462,400,862
 Sought work,24,14,38
 Did not seek work,14,10,24
 Full time student,455,469,924
 Household work,39,1034,1073
" Pensioner, retired, elderly person",44,56,100
" Ill, disabled",19,12,31
 Other,722,453,1175
 Total,3562,3187,6749
NotApp :,2464,*,*
AREA # 030401,Kawkareik,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),2729,1873,4602
" Employee (Private, Org)",8901,3331,12232
 Employer,2069,806,2875
 Own account worker,25446,13819,39265
 Contributing family worker,7812,9989,17801
 Sought work,4564,2330,6894
 Did not seek work,824,367,1191
 Full time student,12338,14292,26630
 Household work,2500,31716,34216
" Pensioner, retired, elderly person",4232,5925,10157
" Ill, disabled",1094,1060,2154
 Other,7390,4087,11477
 Total,79899,89595,169494
NotApp :,50848,*,*
AREA # 030402,Kyarinseikkyi,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),1204,792,1996
" Employee (Private, Org)",5755,3533,9288
 Employer,874,504,1378
 Own account worker,14894,8522,23416
 Contributing family worker,5188,7508,12696
 Sought work,1348,780,2128
 Did not seek work,550,381,931
 Full time student,5296,6431,11727
 Household work,441,10730,11171
" Pensioner, retired, elderly person",1849,2347,4196
" Ill, disabled",526,498,1024
 Other,1735,594,2329
 Total,39660,42620,82280
NotApp :,24147,*,*
AREA # 030451,Payarthonezu(ST),*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),266,270,536
" Employee (Private, Org)",7135,4686,11821
 Employer,762,228,990
 Own account worker,11408,3948,15356
 Contributing family worker,3692,2858,6550
 Sought work,1502,758,2260
 Did not seek work,638,326,964
 Full time student,4412,5247,9659
 Household work,439,14017,14456
" Pensioner, retired, elderly person",1054,1525,2579
" Ill, disabled",266,200,466
 Other,1898,782,2680
 Total,33472,34845,68317
NotApp :,22167,*,*
AREA # 030452,Kyaidon(ST),*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),171,98,269
" Employee (Private, Org)",1234,343,1577
 Employer,152,49,201
 Own account worker,9594,2854,12448
 Contributing family worker,4720,6487,11207
 Sought work,306,143,449
 Did not seek work,76,44,120
 Full time student,2687,2918,5605
 Household work,363,6341,6704
" Pensioner, retired, elderly person",471,646,1117
" Ill, disabled",122,145,267
 Other,1372,704,2076
 Total,21268,20772,42040
NotApp :,15898,*,*
AREA # 040101,HaKa,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),1762,1393,3155
" Employee (Private, Org)",1825,389,2214
 Employer,169,90,259
 Own account worker,3869,1456,5325
 Contributing family worker,2103,2014,4117
 Sought work,526,409,935
 Did not seek work,266,119,385
 Full time student,4121,4399,8520
 Household work,466,7584,8050
" Pensioner, retired, elderly person",1037,1078,2115
" Ill, disabled",333,359,692
 Other,868,419,1287
 Total,17345,19709,37054
NotApp :,11298,*,*
AREA # 040102,Thantlang,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),695,461,1156
" Employee (Private, Org)",615,258,873
 Employer,48,14,62
 Own account worker,4763,2097,6860
 Contributing family worker,4093,5139,9232
 Sought work,249,187,436
 Did not seek work,194,107,301
 Full time student,4530,4369,8899
 Household work,422,4831,5253
" Pensioner, retired, elderly person",842,1116,1958
" Ill, disabled",316,371,687
 Other,535,223,758
 Total,17302,19173,36475
NotApp :,13899,*,*
AREA # 040201,Falam,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),1067,943,2010
" Employee (Private, Org)",1307,555,1862
 Employer,114,34,148
 Own account worker,3807,2309,6116
 Contributing family worker,3308,4737,8045
 Sought work,457,342,799
 Did not seek work,116,103,219
 Full time student,3654,3943,7597
 Household work,296,1874,2170
" Pensioner, retired, elderly person",594,660,1254
" Ill, disabled",226,287,513
 Other,237,168,405
 Total,15183,15955,31138
NotApp :,10319,*,*
AREA # 040202,Tedim,*,*
