Identity_card,Sex_Male,Sex_Female,Sex_Total
 Naturalised Scrutiny Card (green),27,14,41
 National Registration Card (3-fold),218,354,572
 Religious card,103,9,112
 Temporary Registration Card (white),128,156,284
 Foreign Passport,3,3,6
 None,5559,5846,11405
 Child under 10 years,5625,5452,11077
 Total,26156,26789,52945
AREA # 010351,Myohla(ST),*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),1347,1310,2657
 Naturalised Scrutiny Card (green),4,2,6
 National Registration Card (3-fold),6,4,10
 Religious card,11,2,13
 Temporary Registration Card (white),-,4,4
 None,239,203,442
 Child under 10 years,505,456,961
 Total,2112,1981,4093
AREA # 010352,Lwe`ge`(ST),*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),3072,3227,6299
 Associate Scrutiny Card (blue),14,10,24
 Naturalised Scrutiny Card (green),63,73,136
 National Registration Card (3-fold),12,20,32
 Religious card,9,1,10
 Temporary Registration Card (white),8,18,26
 Foreign Registration Card (FRC),39,7,46
 Foreign Passport,9,6,15
 None,759,765,1524
 Child under 10 years,980,947,1927
 Total,4965,5074,10039
AREA # 010353,Dotphoneyan(ST),*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),3725,3596,7321
 Naturalised Scrutiny Card (green),7,2,9
 National Registration Card (3-fold),23,45,68
 Religious card,33,3,36
 Temporary Registration Card (white),16,22,38
 None,803,710,1513
 Child under 10 years,1209,1119,2328
 Total,5816,5497,11313
AREA # 010401,Putao,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),16764,17641,34405
 Associate Scrutiny Card (blue),17,22,39
 Naturalised Scrutiny Card (green),18,14,32
 National Registration Card (3-fold),67,101,168
 Religious card,34,2,36
 Temporary Registration Card (white),145,133,278
 Foreign Registration Card (FRC),1,-,1
 Foreign Passport,13,9,22
 None,5060,5137,10197
 Child under 10 years,8043,7854,15897
 Total,30162,30913,61075
AREA # 010402,Sumprabum,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),758,685,1443
 Naturalised Scrutiny Card (green),2,1,3
 National Registration Card (3-fold),2,5,7
 Religious card,2,-,2
 Temporary Registration Card (white),10,21,31
 None,194,222,416
 Child under 10 years,323,321,644
 Total,1291,1255,2546
AREA # 010403,Machanbaw,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),2767,2824,5591
 Associate Scrutiny Card (blue),-,2,2
 Naturalised Scrutiny Card (green),3,2,5
 National Registration Card (3-fold),4,3,7
 Religious card,9,-,9
 Temporary Registration Card (white),5,2,7
 Foreign Registration Card (FRC),1,-,1
 Foreign Passport,2,1,3
 None,424,382,806
 Child under 10 years,1240,1187,2427
 Total,4455,4403,8858
AREA # 010404,Khaunglanphoo,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),4026,3840,7866
 Associate Scrutiny Card (blue),1,3,4
 Naturalised Scrutiny Card (green),4,5,9
 National Registration Card (3-fold),5,4,9
 Foreign Registration Card (FRC),1,-,1
 Foreign Passport,1,4,5
 None,777,823,1600
 Child under 10 years,1040,1121,2161
 Total,5855,5800,11655
AREA # 010405,Naungmoon,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),1813,1837,3650
 National Registration Card (3-fold),1,5,6
 None,138,128,266
 Child under 10 years,737,706,1443
 Total,2689,2676,5365
AREA # 010451,Pannandin(ST),*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),524,427,951
 National Registration Card (3-fold),63,61,124
 None,69,79,148
 Child under 10 years,258,277,535
 Total,914,844,1758
AREA # 020101,Loikaw,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),44374,47963,92337
 Associate Scrutiny Card (blue),78,91,169
 Naturalised Scrutiny Card (green),208,151,359
 National Registration Card (3-fold),403,368,771
 Religious card,396,69,465
 Temporary Registration Card (white),32,32,64
 Foreign Registration Card (FRC),6,8,14
 Foreign Passport,42,4,46
 None,4188,3449,7637
 Child under 10 years,13382,13157,26539
 Total,63109,65292,128401
AREA # 020102,Dimawso,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),25421,27312,52733
 Associate Scrutiny Card (blue),20,21,41
 Naturalised Scrutiny Card (green),75,72,147
 National Registration Card (3-fold),41,95,136
 Religious card,66,18,84
 Temporary Registration Card (white),10,10,20
 Foreign Registration Card (FRC),7,10,17
 Foreign Passport,6,2,8
 None,2607,2648,5255
 Child under 10 years,10683,10077,20760
 Total,38936,40265,79201
AREA # 020103,Phruso,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),9505,9838,19343
 Associate Scrutiny Card (blue),-,2,2
 Naturalised Scrutiny Card (green),8,2,10
 National Registration Card (3-fold),23,42,65
 Religious card,14,18,32
 Foreign Registration Card (FRC),1,-,1
 None,876,1051,1927
 Child under 10 years,4010,3984,7994
 Total,14437,14937,29374
AREA # 020104,Shardaw,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),2401,2378,4779
 Naturalised Scrutiny Card (green),-,3,3
 National Registration Card (3-fold),2,8,10
 Religious card,9,2,11
 Temporary Registration Card (white),3,1,4
 None,98,118,216
 Child under 10 years,838,881,1719
 Total,3351,3391,6742
AREA # 020201,Bawlakhe,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),3640,2894,6534
 Naturalised Scrutiny Card (green),2,1,3
 National Registration Card (3-fold),14,8,22
 Religious card,16,-,16
 Temporary Registration Card (white),5,-,5
 None,142,134,276
 Child under 10 years,832,792,1624
 Total,4651,3829,8480
AREA # 020202,Parsaung,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),9057,6936,15993
 Associate Scrutiny Card (blue),4,4,8
 Naturalised Scrutiny Card (green),28,21,49
 National Registration Card (3-fold),165,195,360
 Religious card,19,-,19
 Temporary Registration Card (white),11,9,20
 Foreign Registration Card (FRC),3,7,10
 Foreign Passport,10,3,13
 None,1687,1657,3344
 Child under 10 years,2922,2856,5778
 Total,13906,11688,25594
AREA # 020203,Meisi,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),2350,1969,4319
 Associate Scrutiny Card (blue),1,1,2
 Naturalised Scrutiny Card (green),2,-,2
 National Registration Card (3-fold),6,5,11
 Religious card,22,3,25
 Foreign Registration Card (FRC),2,-,2
 Foreign Passport,1,2,3
 None,231,227,458
 Child under 10 years,787,710,1497
 Total,3402,2917,6319
AREA # 020251,Ywathit(ST),*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),1086,809,1895
 Naturalised Scrutiny Card (green),2,-,2
 National Registration Card (3-fold),3,3,6
 Religious card,8,-,8
 Foreign Registration Card (FRC),2,3,5
 Foreign Passport,6,-,6
 None,73,52,125
 Child under 10 years,241,228,469
 Total,1421,1095,2516
AREA # 030101,Hpa-an,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),94095,101671,195766
 Associate Scrutiny Card (blue),121,77,198
 Naturalised Scrutiny Card (green),1335,1861,3196
 National Registration Card (3-fold),1973,2772,4745
 Religious card,1680,191,1871
 Temporary Registration Card (white),873,1053,1926
 Foreign Registration Card (FRC),7,6,13
 Foreign Passport,85,58,143
 None,55611,63498,119109
 Child under 10 years,48130,46478,94608
 Total,203910,217665,421575
AREA # 030102,Hlaingbwe,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),30540,32894,63434
 Associate Scrutiny Card (blue),15,32,47
 Naturalised Scrutiny Card (green),261,409,670
 National Registration Card (3-fold),559,640,1199
 Religious card,411,29,440
 Temporary Registration Card (white),177,213,390
 Foreign Registration Card (FRC),3,4,7
 Foreign Passport,45,36,81
 None,24202,26342,50544
 Child under 10 years,19747,18985,38732
 Total,75960,79584,155544
AREA # 030103,Thandaunggyi,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),9821,9305,19126
 Associate Scrutiny Card (blue),7,12,19
 Naturalised Scrutiny Card (green),31,29,60
 National Registration Card (3-fold),58,79,137
 Religious card,16,3,19
 Temporary Registration Card (white),33,69,102
 Foreign Passport,-,2,2
 None,1834,1935,3769
 Child under 10 years,3497,3478,6975
 Total,15297,14912,30209
AREA # 030151,Paingkyon(ST),*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),14875,15511,30386
 Associate Scrutiny Card (blue),13,6,19
 Naturalised Scrutiny Card (green),38,11,49
 National Registration Card (3-fold),302,296,598
 Religious card,254,14,268
 Temporary Registration Card (white),58,71,129
 Foreign Registration Card (FRC),2,-,2
 Foreign Passport,10,5,15
 None,15739,18703,34442
 Child under 10 years,11686,11010,22696
 Total,42977,45627,88604
AREA # 030152,Shan Ywathit(ST),*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),3577,2729,6306
 Associate Scrutiny Card (blue),3,1,4
 National Registration Card (3-fold),1,-,1
 Religious card,11,-,11
 Temporary Registration Card (white),3,2,5
 Foreign Passport,1,3,4
 None,4278,4910,9188
 Child under 10 years,3089,3127,6216
 Total,10963,10772,21735
AREA # 030153,Leiktho(ST),*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),12814,11242,24056
 Associate Scrutiny Card (blue),13,10,23
 Naturalised Scrutiny Card (green),77,26,103
 National Registration Card (3-fold),278,313,591
 Religious card,32,31,63
 Temporary Registration Card (white),118,291,409
 Foreign Passport,2,4,6
 None,4373,5375,9748
 Child under 10 years,6996,6611,13607
 Total,24703,23903,48606
AREA # 030154,Bawgali(ST),*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),4782,4776,9558
 Associate Scrutiny Card (blue),2,-,2
 Naturalised Scrutiny Card (green),9,5,14
 National Registration Card (3-fold),33,45,78
 Religious card,7,-,7
 Temporary Registration Card (white),35,57,92
 Foreign Passport,1,3,4
 None,1518,1747,3265
 Child under 10 years,2130,2087,4217
 Total,8517,8720,17237
AREA # 030201,Pharpon,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),3695,2708,6403
 Associate Scrutiny Card (blue),2,3,5
 Naturalised Scrutiny Card (green),7,6,13
 National Registration Card (3-fold),18,25,43
 Religious card,37,1,38
 Temporary Registration Card (white),7,3,10
 None,2280,2325,4605
 Child under 10 years,1553,1520,3073
 Total,7599,6591,14190
AREA # 030251,Kamamaung(ST},*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),4507,4355,8862
 Associate Scrutiny Card (blue),3,2,5
 Naturalised Scrutiny Card (green),21,8,29
 National Registration Card (3-fold),155,185,340
 Religious card,37,5,42
 Temporary Registration Card (white),75,111,186
 Foreign Passport,-,1,1
 None,2938,3268,6206
 Child under 10 years,2648,2576,5224
 Total,10384,10511,20895
AREA # 030301,Myawady,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),45429,43560,88989
 Associate Scrutiny Card (blue),53,57,110
 Naturalised Scrutiny Card (green),285,138,423
 National Registration Card (3-fold),1062,1324,2386
 Religious card,682,59,741
 Temporary Registration Card (white),596,652,1248
 Foreign Registration Card (FRC),5,6,11
 Foreign Passport,27,30,57
 None,29512,28907,58419
 Child under 10 years,22120,21120,43240
 Total,99771,95853,195624
AREA # 030351,Sugali(ST),*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),1003,793,1796
 Associate Scrutiny Card (blue),-,2,2
 Naturalised Scrutiny Card (green),1,-,1
 National Registration Card (3-fold),6,7,13
 Religious card,15,2,17
 Temporary Registration Card (white),14,8,22
 Foreign Registration Card (FRC),1,1,2
 Foreign Passport,2,6,8
 None,1143,1150,2293
 Child under 10 years,802,747,1549
 Total,2987,2716,5703
AREA # 030352,Wawlaymyaing(ST),*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),1863,1645,3508
 Associate Scrutiny Card (blue),1,1,2
 Naturalised Scrutiny Card (green),10,1,11
 National Registration Card (3-fold),18,16,34
 Religious card,13,1,14
 Temporary Registration Card (white),35,34,69
 Foreign Passport,1,-,1
 None,1621,1489,3110
 Child under 10 years,1287,1177,2464
 Total,4849,4364,9213
AREA # 030401,Kawkareik,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),44864,50671,95535
 Associate Scrutiny Card (blue),31,45,76
 Naturalised Scrutiny Card (green),344,305,649
 National Registration Card (3-fold),1785,2480,4265
 Religious card,839,71,910
 Temporary Registration Card (white),734,901,1635
 Foreign Registration Card (FRC),8,11,19
 Foreign Passport,28,32,60
 None,31266,35079,66345
 Child under 10 years,25625,25223,50848
 Total,105524,114818,220342
AREA # 030402,Kyarinseikkyi,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),23193,24062,47255
 Associate Scrutiny Card (blue),28,21,49
 Naturalised Scrutiny Card (green),148,62,210
 National Registration Card (3-fold),1011,995,2006
 Religious card,306,37,343
 Temporary Registration Card (white),312,366,678
 Foreign Registration Card (FRC),2,4,6
 Foreign Passport,17,14,31
 None,14643,17059,31702
 Child under 10 years,12146,12001,24147
 Total,51806,54621,106427
AREA # 030451,Payarthonezu(ST),*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),17408,17322,34730
 Associate Scrutiny Card (blue),32,16,48
 Naturalised Scrutiny Card (green),117,35,152
 National Registration Card (3-fold),462,428,890
 Religious card,304,44,348
 Temporary Registration Card (white),193,221,414
 Foreign Registration Card (FRC),16,7,23
 Foreign Passport,24,28,52
 None,14916,16744,31660
 Child under 10 years,11128,11039,22167
 Total,44600,45884,90484
AREA # 030452,Kyaidon(ST),*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),7680,6634,14314
 Associate Scrutiny Card (blue),7,8,15
 Naturalised Scrutiny Card (green),26,5,31
 National Registration Card (3-fold),164,149,313
 Religious card,71,7,78
 Temporary Registration Card (white),78,128,206
 Foreign Registration Card (FRC),9,4,13
 Foreign Passport,4,1,5
 None,13229,13836,27065
 Child under 10 years,8012,7886,15898
 Total,29280,28658,57938
AREA # 040101,HaKa,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),13445,15691,29136
 Associate Scrutiny Card (blue),6,9,15
 Naturalised Scrutiny Card (green),7,5,12
 National Registration Card (3-fold),18,46,64
 Religious card,26,7,33
 Temporary Registration Card (white),64,44,108
 Foreign Registration Card (FRC),1,1,2
 Foreign Passport,15,9,24
 None,3763,3897,7660
 Child under 10 years,5677,5621,11298
 Total,23022,25330,48352
AREA # 040102,Thantlang,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),13337,14930,28267
 Associate Scrutiny Card (blue),3,3,6
 Naturalised Scrutiny Card (green),2,4,6
 National Registration Card (3-fold),78,173,251
 Religious card,8,3,11
 Temporary Registration Card (white),14,16,30
 Foreign Registration Card (FRC),3,3,6
 Foreign Passport,16,7,23
 None,3841,4034,7875
 Child under 10 years,7077,6822,13899
 Total,24379,25995,50374
AREA # 040201,Falam,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),11726,12677,24403
 Associate Scrutiny Card (blue),5,5,10
 Naturalised Scrutiny Card (green),10,6,16
 National Registration Card (3-fold),16,29,45
 Religious card,14,3,17
 Temporary Registration Card (white),16,15,31
 Foreign Registration Card (FRC),3,2,5
 Foreign Passport,6,4,10
 None,3387,3214,6601
 Child under 10 years,5167,5152,10319
 Total,20350,21107,41457
AREA # 040202,Tedim,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),21575,24608,46183
 Associate Scrutiny Card (blue),6,9,15
 Naturalised Scrutiny Card (green),11,9,20
 National Registration Card (3-fold),91,185,276
 Religious card,13,5,18
 Temporary Registration Card (white),9,16,25
 Foreign Passport,18,11,29
 None,8075,8796,16871
 Child under 10 years,12129,12057,24186
 Total,41927,45696,87623
AREA # 040203,Tonzaung,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),4794,5145,9939
 Associate Scrutiny Card (blue),2,1,3
 Naturalised Scrutiny Card (green),4,7,11
 National Registration Card (3-fold),10,17,27
 Religious card,6,-,6
 Temporary Registration Card (white),9,16,25
 Foreign Passport,5,3,8
 None,1978,2243,4221
 Child under 10 years,3299,3183,6482
 Total,10107,10615,20722
AREA # 040251,Rihkhuadal(ST),*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),1871,1838,3709
 Associate Scrutiny Card (blue),1,3,4
 National Registration Card (3-fold),9,15,24
 Religious card,1,1,2
 Temporary Registration Card (white),-,2,2
 Foreign Passport,1,-,1
 None,628,654,1282
 Child under 10 years,762,834,1596
 Total,3273,3347,6620
AREA # 040252,Cikha(ST),*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),2745,2754,5499
 Associate Scrutiny Card (blue),-,4,4
 Naturalised Scrutiny Card (green),1,-,1
 National Registration Card (3-fold),17,15,32
 Religious card,1,-,1
 Temporary Registration Card (white),15,19,34
 Foreign Registration Card (FRC),5,1,6
 None,1208,1230,2438
 Child under 10 years,1593,1548,3141
 Total,5585,5571,11156
AREA # 040301,Mindat,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),10312,13302,23614
 Associate Scrutiny Card (blue),-,2,2
 Naturalised Scrutiny Card (green),14,13,27
 National Registration Card (3-fold),93,100,193
 Religious card,66,12,78
 Temporary Registration Card (white),6,5,11
 Foreign Registration Card (FRC),-,1,1
 Foreign Passport,3,8,11
 None,2717,3070,5787
 Child under 10 years,6516,6360,12876
 Total,19727,22873,42600
AREA # 040302,Matupi,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),10543,12267,22810
 Associate Scrutiny Card (blue),5,5,10
 Naturalised Scrutiny Card (green),9,12,21
 National Registration Card (3-fold),17,34,51
 Religious card,6,-,6
 Temporary Registration Card (white),28,31,59
 Foreign Registration Card (FRC),-,1,1
 Foreign Passport,10,8,18
 None,2858,2991,5849
 Child under 10 years,5204,5057,10261
 Total,18680,20406,39086
AREA # 040303,Kanpalet,*,*
