Toilet,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Pit (Traditional pit latrine),335,1347,1682,Mohnyin,MMR001007
 Bucket (Surface latrine),2,19,21,Mohnyin,MMR001007
 Other,9,98,107,Mohnyin,MMR001007
 No toilet,13,169,182,Mohnyin,MMR001007
 Total,6353,23837,30190,Mohnyin,MMR001007
 Flush,22,81,103,Mogaung,MMR001008
 Water seal (Improved pit latrine),3662,19151,22813,Mogaung,MMR001008
 Pit (Traditional pit latrine),733,1078,1811,Mogaung,MMR001008
 Bucket (Surface latrine),5,17,22,Mogaung,MMR001008
 Other,8,33,41,Mogaung,MMR001008
 No toilet,18,90,108,Mogaung,MMR001008
 Total,4448,20450,24898,Mogaung,MMR001008
 Flush,18,617,635,Phakant,MMR001009
 Water seal (Improved pit latrine),6426,21514,27940,Phakant,MMR001009
 Pit (Traditional pit latrine),329,3527,3856,Phakant,MMR001009
 Bucket (Surface latrine),6,114,120,Phakant,MMR001009
 Other,11,85,96,Phakant,MMR001009
 No toilet,66,421,487,Phakant,MMR001009
 Total,6856,26278,33134,Phakant,MMR001009
 Flush,98,46,144,Hopin(ST),MMR001007
 Water seal (Improved pit latrine),4282,4716,8998,Hopin(ST),MMR001007
 Pit (Traditional pit latrine),140,98,238,Hopin(ST),MMR001007
 Bucket (Surface latrine),4,2,6,Hopin(ST),MMR001007
 Other,3,6,9,Hopin(ST),MMR001007
 No toilet,14,23,37,Hopin(ST),MMR001007
 Total,4541,4891,9432,Hopin(ST),MMR001007
 Flush,-,7,7,Kamine(ST),MMR001009
 Water seal (Improved pit latrine),918,2157,3075,Kamine(ST),MMR001009
 Pit (Traditional pit latrine),90,235,325,Kamine(ST),MMR001009
 Bucket (Surface latrine),2,9,11,Kamine(ST),MMR001009
 Other,-,35,35,Kamine(ST),MMR001009
 No toilet,20,25,45,Kamine(ST),MMR001009
 Total,1030,2468,3498,Kamine(ST),MMR001009
 Flush,166,114,280,Bhamo,MMR001010
 Water seal (Improved pit latrine),8666,12869,21535,Bhamo,MMR001010
 Pit (Traditional pit latrine),637,1032,1669,Bhamo,MMR001010
 Bucket (Surface latrine),5,20,25,Bhamo,MMR001010
 Other,3,110,113,Bhamo,MMR001010
 No toilet,38,501,539,Bhamo,MMR001010
 Total,9515,14646,24161,Bhamo,MMR001010
 Flush,28,28,56,Shwegu,MMR001011
 Water seal (Improved pit latrine),3277,9173,12450,Shwegu,MMR001011
 Pit (Traditional pit latrine),13,2031,2044,Shwegu,MMR001011
 Bucket (Surface latrine),1,132,133,Shwegu,MMR001011
 Other,5,64,69,Shwegu,MMR001011
 No toilet,78,998,1076,Shwegu,MMR001011
 Total,3402,12426,15828,Shwegu,MMR001011
 Flush,12,18,30,Momauk,MMR001012
 Water seal (Improved pit latrine),1918,5733,7651,Momauk,MMR001012
 Pit (Traditional pit latrine),142,267,409,Momauk,MMR001012
 Bucket (Surface latrine),1,18,19,Momauk,MMR001012
 Other,6,49,55,Momauk,MMR001012
 No toilet,11,459,470,Momauk,MMR001012
 Total,2090,6544,8634,Momauk,MMR001012
 Flush,19,78,97,Mansi,MMR001013
 Water seal (Improved pit latrine),1534,7963,9497,Mansi,MMR001013
 Pit (Traditional pit latrine),42,532,574,Mansi,MMR001013
 Bucket (Surface latrine),1,28,29,Mansi,MMR001013
 Other,1,71,72,Mansi,MMR001013
 No toilet,21,264,285,Mansi,MMR001013
 Total,1618,8936,10554,Mansi,MMR001013
 Flush,1,-,1,Myohla(ST),MMR001011
 Water seal (Improved pit latrine),280,385,665,Myohla(ST),MMR001011
 Pit (Traditional pit latrine),5,17,22,Myohla(ST),MMR001011
 No toilet,75,30,105,Myohla(ST),MMR001011
 Total,361,432,793,Myohla(ST),MMR001011
 Flush,3,-,3,Lwe`ge`(ST),MMR001012
 Water seal (Improved pit latrine),1158,261,1419,Lwe`ge`(ST),MMR001012
 Pit (Traditional pit latrine),51,4,55,Lwe`ge`(ST),MMR001012
 Bucket (Surface latrine),4,5,9,Lwe`ge`(ST),MMR001012
 Other,5,3,8,Lwe`ge`(ST),MMR001012
 No toilet,4,5,9,Lwe`ge`(ST),MMR001012
 Total,1225,278,1503,Lwe`ge`(ST),MMR001012
 Flush,-,23,23,Dotphoneyan(ST),MMR001012
 Water seal (Improved pit latrine),261,1295,1556,Dotphoneyan(ST),MMR001012
 Pit (Traditional pit latrine),42,207,249,Dotphoneyan(ST),MMR001012
 Bucket (Surface latrine),1,8,9,Dotphoneyan(ST),MMR001012
 Other,2,19,21,Dotphoneyan(ST),MMR001012
 No toilet,5,370,375,Dotphoneyan(ST),MMR001012
 Total,311,1922,2233,Dotphoneyan(ST),MMR001012
 Flush,4,86,90,Putao,MMR001014
 Water seal (Improved pit latrine),2725,6264,8989,Putao,MMR001014
 Pit (Traditional pit latrine),67,1436,1503,Putao,MMR001014
 Bucket (Surface latrine),2,64,66,Putao,MMR001014
 Other,7,51,58,Putao,MMR001014
 No toilet,6,31,37,Putao,MMR001014
 Total,2811,7932,10743,Putao,MMR001014
 Flush,-,2,2,Sumprabum,MMR001015
 Water seal (Improved pit latrine),130,112,242,Sumprabum,MMR001015
 Pit (Traditional pit latrine),33,108,141,Sumprabum,MMR001015
 Bucket (Surface latrine),1,17,18,Sumprabum,MMR001015
 Other,6,57,63,Sumprabum,MMR001015
 No toilet,2,11,13,Sumprabum,MMR001015
 Total,172,307,479,Sumprabum,MMR001015
 Flush,2,67,69,Machanbaw,MMR001016
 Water seal (Improved pit latrine),334,949,1283,Machanbaw,MMR001016
 Pit (Traditional pit latrine),63,280,343,Machanbaw,MMR001016
 Bucket (Surface latrine),2,5,7,Machanbaw,MMR001016
 No toilet,7,10,17,Machanbaw,MMR001016
 Total,408,1311,1719,Machanbaw,MMR001016
 Flush,-,13,13,Khaunglanphoo,MMR001018
 Water seal (Improved pit latrine),5,74,79,Khaunglanphoo,MMR001018
 Pit (Traditional pit latrine),64,1507,1571,Khaunglanphoo,MMR001018
 Bucket (Surface latrine),1,41,42,Khaunglanphoo,MMR001018
 Other,-,6,6,Khaunglanphoo,MMR001018
 Total,70,1641,1711,Khaunglanphoo,MMR001018
 Water seal (Improved pit latrine),219,276,495,Naungmoon,MMR001017
 Pit (Traditional pit latrine),139,301,440,Naungmoon,MMR001017
 Bucket (Surface latrine),2,5,7,Naungmoon,MMR001017
 No toilet,-,1,1,Naungmoon,MMR001017
 Total,360,583,943,Naungmoon,MMR001017
 Water seal (Improved pit latrine),11,74,85,Pannandin(ST),MMR001017
 Pit (Traditional pit latrine),13,166,179,Pannandin(ST),MMR001017
 Bucket (Surface latrine),-,4,4,Pannandin(ST),MMR001017
 No toilet,-,1,1,Pannandin(ST),MMR001017
 Total,24,245,269,Pannandin(ST),MMR001017
 Flush,279,144,423,Loikaw,MMR002001
 Water seal (Improved pit latrine),9673,15108,24781,Loikaw,MMR002001
 Pit (Traditional pit latrine),401,247,648,Loikaw,MMR002001
 Bucket (Surface latrine),3,19,22,Loikaw,MMR002001
 Other,9,32,41,Loikaw,MMR002001
 No toilet,57,523,580,Loikaw,MMR002001
 Total,10422,16073,26495,Loikaw,MMR002001
 Flush,5,47,52,Dimawso,MMR002002
 Water seal (Improved pit latrine),1065,13018,14083,Dimawso,MMR002002
 Pit (Traditional pit latrine),20,330,350,Dimawso,MMR002002
 Bucket (Surface latrine),1,37,38,Dimawso,MMR002002
 Other,2,30,32,Dimawso,MMR002002
 No toilet,44,748,792,Dimawso,MMR002002
 Total,1137,14210,15347,Dimawso,MMR002002
 Flush,1,6,7,Phruso,MMR002003
 Water seal (Improved pit latrine),814,3329,4143,Phruso,MMR002003
 Pit (Traditional pit latrine),21,292,313,Phruso,MMR002003
 Bucket (Surface latrine),-,95,95,Phruso,MMR002003
 Other,-,78,78,Phruso,MMR002003
 No toilet,17,1257,1274,Phruso,MMR002003
 Total,853,5057,5910,Phruso,MMR002003
 Flush,1,-,1,Shardaw,MMR002004
 Water seal (Improved pit latrine),261,575,836,Shardaw,MMR002004
 Pit (Traditional pit latrine),41,299,340,Shardaw,MMR002004
 Bucket (Surface latrine),1,17,18,Shardaw,MMR002004
 Other,11,25,36,Shardaw,MMR002004
 No toilet,21,154,175,Shardaw,MMR002004
 Total,336,1070,1406,Shardaw,MMR002004
 Flush,5,-,5,Bawlakhe,MMR002005
 Water seal (Improved pit latrine),791,689,1480,Bawlakhe,MMR002005
 Pit (Traditional pit latrine),29,17,46,Bawlakhe,MMR002005
 Bucket (Surface latrine),1,1,2,Bawlakhe,MMR002005
 Other,1,-,1,Bawlakhe,MMR002005
 No toilet,12,43,55,Bawlakhe,MMR002005
 Total,839,750,1589,Bawlakhe,MMR002005
 Flush,1,39,40,Parsaung,MMR002006
 Water seal (Improved pit latrine),581,2851,3432,Parsaung,MMR002006
 Pit (Traditional pit latrine),4,79,83,Parsaung,MMR002006
 Bucket (Surface latrine),3,318,321,Parsaung,MMR002006
 Other,-,14,14,Parsaung,MMR002006
 No toilet,5,838,843,Parsaung,MMR002006
 Total,594,4139,4733,Parsaung,MMR002006
 Flush,-,13,13,Meisi,MMR002007
 Water seal (Improved pit latrine),182,883,1065,Meisi,MMR002007
 Pit (Traditional pit latrine),3,69,72,Meisi,MMR002007
 Bucket (Surface latrine),-,2,2,Meisi,MMR002007
 Other,-,1,1,Meisi,MMR002007
 No toilet,10,139,149,Meisi,MMR002007
 Total,195,1107,1302,Meisi,MMR002007
 Flush,-,1,1,Ywathit(ST),MMR002005
 Water seal (Improved pit latrine),223,152,375,Ywathit(ST),MMR002005
 Pit (Traditional pit latrine),61,22,83,Ywathit(ST),MMR002005
 Bucket (Surface latrine),1,1,2,Ywathit(ST),MMR002005
 Other,1,9,10,Ywathit(ST),MMR002005
 No toilet,6,15,21,Ywathit(ST),MMR002005
 Total,292,200,492,Ywathit(ST),MMR002005
 Flush,256,1500,1756,Hpa-an,MMR003001
 Water seal (Improved pit latrine),13610,51199,64809,Hpa-an,MMR003001
 Pit (Traditional pit latrine),533,3281,3814,Hpa-an,MMR003001
 Bucket (Surface latrine),12,410,422,Hpa-an,MMR003001
 Other,16,779,795,Hpa-an,MMR003001
 No toilet,341,17260,17601,Hpa-an,MMR003001
 Total,14768,74429,89197,Hpa-an,MMR003001
 Flush,12,327,339,Hlaingbwe,MMR003002
 Water seal (Improved pit latrine),2164,19807,21971,Hlaingbwe,MMR003002
 Pit (Traditional pit latrine),21,1270,1291,Hlaingbwe,MMR003002
 Bucket (Surface latrine),1,81,82,Hlaingbwe,MMR003002
 Other,2,136,138,Hlaingbwe,MMR003002
 No toilet,79,7686,7765,Hlaingbwe,MMR003002
 Total,2279,29307,31586,Hlaingbwe,MMR003002
 Flush,33,8,41,Thandaunggyi,MMR003004
 Water seal (Improved pit latrine),2598,2118,4716,Thandaunggyi,MMR003004
 Pit (Traditional pit latrine),230,99,329,Thandaunggyi,MMR003004
 Bucket (Surface latrine),25,29,54,Thandaunggyi,MMR003004
 Other,5,12,17,Thandaunggyi,MMR003004
 No toilet,171,481,652,Thandaunggyi,MMR003004
 Total,3062,2747,5809,Thandaunggyi,MMR003004
 Flush,-,275,275,Paingkyon(ST),MMR003002
 Water seal (Improved pit latrine),671,6447,7118,Paingkyon(ST),MMR003002
 Pit (Traditional pit latrine),2,591,593,Paingkyon(ST),MMR003002
 Bucket (Surface latrine),-,111,111,Paingkyon(ST),MMR003002
 Other,3,34,37,Paingkyon(ST),MMR003002
 No toilet,131,9513,9644,Paingkyon(ST),MMR003002
 Total,807,16971,17778,Paingkyon(ST),MMR003002
 Flush,-,5,5,Shan Ywathit(ST),MMR003002
 Water seal (Improved pit latrine),23,633,656,Shan Ywathit(ST),MMR003002
 Pit (Traditional pit latrine),-,5,5,Shan Ywathit(ST),MMR003002
 Bucket (Surface latrine),-,4,4,Shan Ywathit(ST),MMR003002
 Other,-,17,17,Shan Ywathit(ST),MMR003002
 No toilet,60,3009,3069,Shan Ywathit(ST),MMR003002
 Total,83,3673,3756,Shan Ywathit(ST),MMR003002
 Flush,5,8,13,Leiktho(ST),MMR003004
 Water seal (Improved pit latrine),563,5097,5660,Leiktho(ST),MMR003004
 Pit (Traditional pit latrine),19,1548,1567,Leiktho(ST),MMR003004
 Bucket (Surface latrine),2,440,442,Leiktho(ST),MMR003004
 Other,1,101,102,Leiktho(ST),MMR003004
 No toilet,17,2125,2142,Leiktho(ST),MMR003004
 Total,607,9319,9926,Leiktho(ST),MMR003004
 Flush,8,1,9,Bawgali(ST),MMR003004
 Water seal (Improved pit latrine),404,1562,1966,Bawgali(ST),MMR003004
 Pit (Traditional pit latrine),18,304,322,Bawgali(ST),MMR003004
 Bucket (Surface latrine),3,326,329,Bawgali(ST),MMR003004
 Other,1,17,18,Bawgali(ST),MMR003004
 No toilet,2,759,761,Bawgali(ST),MMR003004
 Total,436,2969,3405,Bawgali(ST),MMR003004
 Flush,1,17,18,Pharpon,MMR003003
 Water seal (Improved pit latrine),544,1490,2034,Pharpon,MMR003003
 Pit (Traditional pit latrine),27,120,147,Pharpon,MMR003003
 Bucket (Surface latrine),19,31,50,Pharpon,MMR003003
 Other,2,8,10,Pharpon,MMR003003
 No toilet,40,245,285,Pharpon,MMR003003
 Total,633,1911,2544,Pharpon,MMR003003
 Flush,3,-,3,Kamamaung(ST},MMR003003
 Water seal (Improved pit latrine),2261,592,2853,Kamamaung(ST},MMR003003
 Pit (Traditional pit latrine),181,53,234,Kamamaung(ST},MMR003003
 Bucket (Surface latrine),5,27,32,Kamamaung(ST},MMR003003
 Other,3,6,9,Kamamaung(ST},MMR003003
 No toilet,296,531,827,Kamamaung(ST},MMR003003
 Total,2749,1209,3958,Kamamaung(ST},MMR003003
 Flush,208,365,573,Myawady,MMR003005
 Water seal (Improved pit latrine),23385,11902,35287,Myawady,MMR003005
 Pit (Traditional pit latrine),125,280,405,Myawady,MMR003005
 Bucket (Surface latrine),6,220,226,Myawady,MMR003005
 Other,25,255,280,Myawady,MMR003005
 No toilet,267,4220,4487,Myawady,MMR003005
 Total,24016,17242,41258,Myawady,MMR003005
 Flush,2,5,7,Sugali(ST),MMR003005
 Water seal (Improved pit latrine),42,415,457,Sugali(ST),MMR003005
 Pit (Traditional pit latrine),-,138,138,Sugali(ST),MMR003005
 Bucket (Surface latrine),-,10,10,Sugali(ST),MMR003005
 Other,-,4,4,Sugali(ST),MMR003005
 No toilet,31,414,445,Sugali(ST),MMR003005
 Total,75,986,1061,Sugali(ST),MMR003005
 Flush,1,4,5,Wawlaymyaing(ST),MMR003005
 Water seal (Improved pit latrine),501,460,961,Wawlaymyaing(ST),MMR003005
 Pit (Traditional pit latrine),9,243,252,Wawlaymyaing(ST),MMR003005
 Bucket (Surface latrine),8,51,59,Wawlaymyaing(ST),MMR003005
 Other,1,8,9,Wawlaymyaing(ST),MMR003005
 No toilet,57,354,411,Wawlaymyaing(ST),MMR003005
 Total,577,1120,1697,Wawlaymyaing(ST),MMR003005
 Flush,92,696,788,Kawkareik,MMR003006
 Water seal (Improved pit latrine),7927,23380,31307,Kawkareik,MMR003006
 Pit (Traditional pit latrine),72,1198,1270,Kawkareik,MMR003006
 Bucket (Surface latrine),23,364,387,Kawkareik,MMR003006
 Other,9,348,357,Kawkareik,MMR003006
 No toilet,359,11030,11389,Kawkareik,MMR003006
 Total,8482,37016,45498,Kawkareik,MMR003006
 Flush,5,141,146,Kyarinseikkyi,MMR003007
 Water seal (Improved pit latrine),1687,11697,13384,Kyarinseikkyi,MMR003007
 Pit (Traditional pit latrine),21,2519,2540,Kyarinseikkyi,MMR003007
 Bucket (Surface latrine),4,251,255,Kyarinseikkyi,MMR003007
 Other,8,340,348,Kyarinseikkyi,MMR003007
 No toilet,92,5275,5367,Kyarinseikkyi,MMR003007
 Total,1817,20223,22040,Kyarinseikkyi,MMR003007
 Flush,89,89,178,Payarthonezu(ST),MMR003007
 Water seal (Improved pit latrine),5775,5738,11513,Payarthonezu(ST),MMR003007
 Pit (Traditional pit latrine),32,1173,1205,Payarthonezu(ST),MMR003007
 Bucket (Surface latrine),28,359,387,Payarthonezu(ST),MMR003007
 Other,5,147,152,Payarthonezu(ST),MMR003007
 No toilet,167,4193,4360,Payarthonezu(ST),MMR003007
 Total,6096,11699,17795,Payarthonezu(ST),MMR003007
 Flush,-,32,32,Kyaidon(ST),MMR003007
 Water seal (Improved pit latrine),614,2787,3401,Kyaidon(ST),MMR003007
 Pit (Traditional pit latrine),7,816,823,Kyaidon(ST),MMR003007
 Bucket (Surface latrine),3,201,204,Kyaidon(ST),MMR003007
 Other,-,113,113,Kyaidon(ST),MMR003007
 No toilet,56,6104,6160,Kyaidon(ST),MMR003007
 Total,680,10053,10733,Kyaidon(ST),MMR003007
 Flush,35,3,38,HaKa,MMR004002
 Water seal (Improved pit latrine),5141,4479,9620,HaKa,MMR004002
 Pit (Traditional pit latrine),22,162,184,HaKa,MMR004002
 Bucket (Surface latrine),4,7,11,HaKa,MMR004002
 Other,11,20,31,HaKa,MMR004002
 No toilet,8,25,33,HaKa,MMR004002
 Total,5221,4696,9917,HaKa,MMR004002
 Flush,21,23,44,Thantlang,MMR004003
 Water seal (Improved pit latrine),1476,7188,8664,Thantlang,MMR004003
 Pit (Traditional pit latrine),5,335,340,Thantlang,MMR004003
 Bucket (Surface latrine),4,20,24,Thantlang,MMR004003
 Other,-,11,11,Thantlang,MMR004003
 No toilet,1,698,699,Thantlang,MMR004003
 Total,1507,8275,9782,Thantlang,MMR004003
 Flush,15,31,46,Falam,MMR004001
 Water seal (Improved pit latrine),1975,6007,7982,Falam,MMR004001
 Pit (Traditional pit latrine),8,126,134,Falam,MMR004001
 Bucket (Surface latrine),-,30,30,Falam,MMR004001
 Other,2,20,22,Falam,MMR004001
 No toilet,2,212,214,Falam,MMR004001
 Total,2002,6426,8428,Falam,MMR004001
 Flush,15,70,85,Tedim,MMR004004
 Water seal (Improved pit latrine),2213,11430,13643,Tedim,MMR004004
 Pit (Traditional pit latrine),13,581,594,Tedim,MMR004004
 Bucket (Surface latrine),1,45,46,Tedim,MMR004004
 Other,1,25,26,Tedim,MMR004004
 No toilet,7,282,289,Tedim,MMR004004
 Total,2250,12433,14683,Tedim,MMR004004
 Flush,2,71,73,Tonzaung,MMR004005
 Water seal (Improved pit latrine),631,2096,2727,Tonzaung,MMR004005
 Pit (Traditional pit latrine),-,118,118,Tonzaung,MMR004005
 Bucket (Surface latrine),-,52,52,Tonzaung,MMR004005
 Other,1,9,10,Tonzaung,MMR004005
 No toilet,6,425,431,Tonzaung,MMR004005
 Total,640,2771,3411,Tonzaung,MMR004005
 Flush,3,-,3,Rihkhuadal(ST),MMR004001
 Water seal (Improved pit latrine),664,466,1130,Rihkhuadal(ST),MMR004001
 Pit (Traditional pit latrine),1,39,40,Rihkhuadal(ST),MMR004001
 Other,-,2,2,Rihkhuadal(ST),MMR004001
 No toilet,2,21,23,Rihkhuadal(ST),MMR004001
 Total,670,528,1198,Rihkhuadal(ST),MMR004001
 Flush,13,23,36,Cikha(ST),MMR004005
 Water seal (Improved pit latrine),196,1037,1233,Cikha(ST),MMR004005
 Pit (Traditional pit latrine),2,79,81,Cikha(ST),MMR004005
 Bucket (Surface latrine),-,12,12,Cikha(ST),MMR004005
 Other,-,7,7,Cikha(ST),MMR004005
 No toilet,4,157,161,Cikha(ST),MMR004005
 Total,215,1315,1530,Cikha(ST),MMR004005
 Flush,2,46,48,Mindat,MMR004006
 Water seal (Improved pit latrine),2043,5147,7190,Mindat,MMR004006
 Pit (Traditional pit latrine),218,701,919,Mindat,MMR004006
 Bucket (Surface latrine),9,15,24,Mindat,MMR004006
 Other,48,47,95,Mindat,MMR004006
 No toilet,23,223,246,Mindat,MMR004006
 Total,2343,6179,8522,Mindat,MMR004006
 Flush,50,25,75,Matupi,MMR004007
 Water seal (Improved pit latrine),1600,4333,5933,Matupi,MMR004007
 Pit (Traditional pit latrine),16,1103,1119,Matupi,MMR004007
 Bucket (Surface latrine),2,51,53,Matupi,MMR004007
 Other,1,68,69,Matupi,MMR004007
 No toilet,1,386,387,Matupi,MMR004007
 Total,1670,5966,7636,Matupi,MMR004007
 Flush,4,1,5,Kanpalet,MMR004008
 Water seal (Improved pit latrine),677,1465,2142,Kanpalet,MMR004008
 Pit (Traditional pit latrine),102,771,873,Kanpalet,MMR004008
 Bucket (Surface latrine),-,68,68,Kanpalet,MMR004008
 Other,1,99,100,Kanpalet,MMR004008
 No toilet,23,766,789,Kanpalet,MMR004008
 Total,807,3170,3977,Kanpalet,MMR004008
 Flush,6,31,37,Paletwat,MMR004009
 Water seal (Improved pit latrine),999,2689,3688,Paletwat,MMR004009
 Pit (Traditional pit latrine),144,1682,1826,Paletwat,MMR004009
 Bucket (Surface latrine),6,504,510,Paletwat,MMR004009
 Other,4,74,78,Paletwat,MMR004009
 No toilet,191,6963,7154,Paletwat,MMR004009
 Total,1350,11943,13293,Paletwat,MMR004009
 Flush,-,2,2,Reazu(ST),MMR004007
 Water seal (Improved pit latrine),429,2038,2467,Reazu(ST),MMR004007
 Pit (Traditional pit latrine),25,5,30,Reazu(ST),MMR004007
 Bucket (Surface latrine),1,1,2,Reazu(ST),MMR004007
 Other,-,5,5,Reazu(ST),MMR004007
 No toilet,7,8,15,Reazu(ST),MMR004007
 Total,462,2059,2521,Reazu(ST),MMR004007
 Flush,7,5,12,Sami(ST),MMR004009
 Water seal (Improved pit latrine),174,829,1003,Sami(ST),MMR004009
 Pit (Traditional pit latrine),121,847,968,Sami(ST),MMR004009
 Bucket (Surface latrine),5,212,217,Sami(ST),MMR004009
 Other,-,57,57,Sami(ST),MMR004009
 No toilet,326,3640,3966,Sami(ST),MMR004009
 Total,633,5590,6223,Sami(ST),MMR004009
 Flush,668,816,1484,Sagaing,MMR005001
 Water seal (Improved pit latrine),14648,36677,51325,Sagaing,MMR005001
 Pit (Traditional pit latrine),419,1476,1895,Sagaing,MMR005001
 Bucket (Surface latrine),17,73,90,Sagaing,MMR005001
 Other,37,190,227,Sagaing,MMR005001
 No toilet,707,9415,10122,Sagaing,MMR005001
 Total,16496,48647,65143,Sagaing,MMR005001
 Flush,49,813,862,Myinmu,MMR005002
 Water seal (Improved pit latrine),3035,12952,15987,Myinmu,MMR005002
 Pit (Traditional pit latrine),304,749,1053,Myinmu,MMR005002
 Bucket (Surface latrine),24,58,82,Myinmu,MMR005002
 Other,31,85,116,Myinmu,MMR005002
 No toilet,188,7016,7204,Myinmu,MMR005002
 Total,3631,21673,25304,Myinmu,MMR005002
 Flush,31,453,484,Myaung,MMR005003
 Water seal (Improved pit latrine),1615,12375,13990,Myaung,MMR005003
 Pit (Traditional pit latrine),100,1428,1528,Myaung,MMR005003
 Bucket (Surface latrine),9,158,167,Myaung,MMR005003
 Other,5,57,62,Myaung,MMR005003
 No toilet,193,7838,8031,Myaung,MMR005003
 Total,1953,22309,24262,Myaung,MMR005003
 Flush,137,501,638,Shwebo,MMR005004
 Water seal (Improved pit latrine),12726,27238,39964,Shwebo,MMR005004
